material,materialid,maintenance
Städning,0,2022-10-31T11:19:33
Metallförpackningar,3,2022-08-25T20:43:38
Pappersförpackningar,5,2022-10-31T14:02:24
Plastförpackningar,16,2022-10-28T12:00:35
Ofärgade glasförpackningar,18,2022-10-06T10:06:59
Färgade glasförpackningar,19,2022-10-06T10:06:59
Pappersförpackningar,5,2022-11-04T08:38:41
Plastförpackningar,16,2022-11-04T08:38:41
Städning,0,2022-11-07T15:08:05
Pappersförpackningar,5,2022-11-07T16:53:38
Metallförpackningar,3,2022-11-10T16:32:02
Ofärgade glasförpackningar,18,2022-11-10T16:32:02
Färgade glasförpackningar,19,2022-11-10T16:32:02
Pappersförpackningar,5,2022-11-11T07:59:21
Plastförpackningar,16,2022-11-11T07:59:21
Städning,0,2022-11-14T09:47:32
Pappersförpackningar,5,2022-11-14T15:20:48
Pappersförpackningar,5,2022-11-18T06:53:33
Plastförpackningar,16,2022-11-18T06:53:33
Städning,0,2022-11-21T10:24:57
Pappersförpackningar,5,2022-11-21T10:31:05
Pappersförpackningar,5,2022-11-25T09:14:38
Plastförpackningar,16,2022-11-25T09:14:38
Pappersförpackningar,5,2022-11-28T14:59:12
Städning,0,2022-12-12T11:47:16
Pappersförpackningar,5,2022-12-12T10:13:30
Plastförpackningar,16,2022-12-09T07:42:19
Städning,0,2023-01-02T12:20:07
Pappersförpackningar,5,2023-01-02T12:40:58
Plastförpackningar,16,2022-12-30T07:47:32
Ofärgade glasförpackningar,18,2023-01-02T15:06:00
Färgade glasförpackningar,19,2023-01-02T15:06:00
Städning,0,2023-01-09T11:28:59
Pappersförpackningar,5,2023-01-13T08:16:59
Plastförpackningar,16,2023-01-13T08:16:59
Städning,0,2023-01-16T11:15:37
Pappersförpackningar,5,2023-01-16T10:00:00
Metallförpackningar,3,2023-01-20T07:13:22
Pappersförpackningar,5,2023-01-20T07:13:22
Plastförpackningar,16,2023-01-20T07:13:22
Städning,0,2023-01-23T12:52:03
Pappersförpackningar,5,2023-01-23T16:24:43
Pappersförpackningar,5,2023-01-27T14:56:14
Plastförpackningar,16,2023-01-27T14:56:14
Ofärgade glasförpackningar,18,2023-01-27T14:56:14
Färgade glasförpackningar,19,2023-01-27T14:56:14
Städning,0,2023-01-30T10:52:40
Pappersförpackningar,5,2023-01-30T13:51:06
Pappersförpackningar,5,2023-02-03T12:26:36
Plastförpackningar,16,2023-02-03T12:26:36
