material,materialid,maintenance
Städning,0,2022-10-27T08:46:14
Metallförpackningar,3,2022-09-29T10:21:17
Pappersförpackningar,5,2022-10-31T07:59:43
Tidningar,13,2022-07-27T07:27:04
Plastförpackningar,16,2022-10-28T09:18:59
Ofärgade glasförpackningar,18,2022-10-25T12:31:34
Färgade glasförpackningar,19,2022-10-25T12:31:34
Pappersförpackningar,5,2022-11-02T09:37:54
Städning,0,2022-11-03T08:21:46
Plastförpackningar,16,2022-11-03T15:01:57
Ofärgade glasförpackningar,18,2022-11-03T10:05:41
Färgade glasförpackningar,19,2022-11-03T10:05:41
Pappersförpackningar,5,2022-11-04T10:12:31
Pappersförpackningar,5,2022-11-06T07:29:21
Pappersförpackningar,5,2022-11-07T14:49:00
Pappersförpackningar,5,2022-11-09T09:29:00
Städning,0,2022-11-10T09:23:58
Pappersförpackningar,5,2022-11-11T06:01:32
Plastförpackningar,16,2022-11-11T09:23:13
Pappersförpackningar,5,2022-11-13T06:40:20
Pappersförpackningar,5,2022-11-14T15:43:48
Pappersförpackningar,5,2022-11-16T09:30:53
Ofärgade glasförpackningar,18,2022-11-16T10:47:38
Färgade glasförpackningar,19,2022-11-16T10:47:38
Städning,0,2022-11-17T09:02:19
Plastförpackningar,16,2022-11-17T09:48:04
Pappersförpackningar,5,2022-11-18T06:02:19
Pappersförpackningar,5,2022-11-20T07:23:18
Pappersförpackningar,5,2022-11-21T17:06:27
Pappersförpackningar,5,2022-11-23T09:09:15
Städning,0,2022-11-24T08:58:42
Metallförpackningar,3,2022-11-24T10:27:00
Ofärgade glasförpackningar,18,2022-11-24T09:48:00
Färgade glasförpackningar,19,2022-11-24T09:48:00
Pappersförpackningar,5,2022-11-25T06:01:24
Plastförpackningar,16,2022-11-25T09:42:49
Pappersförpackningar,5,2022-11-27T06:46:13
Pappersförpackningar,5,2022-11-28T16:26:37
Städning,0,2022-12-08T08:31:13
Pappersförpackningar,5,2022-12-12T15:45:44
Plastförpackningar,16,2022-12-09T09:09:31
Städning,0,2022-12-29T09:19:55
Pappersförpackningar,5,2023-01-03T10:44:01
Tidningar,13,2022-12-27T16:41:53
Plastförpackningar,16,2022-12-26T08:54:36
Ofärgade glasförpackningar,18,2022-12-14T10:30:30
Färgade glasförpackningar,19,2022-12-14T10:30:30
Städning,0,2023-01-12T09:25:26
Pappersförpackningar,5,2023-01-13T06:01:42
Plastförpackningar,16,2023-01-12T09:31:19
Ofärgade glasförpackningar,18,2023-01-11T14:19:55
Färgade glasförpackningar,19,2023-01-11T14:19:55
Pappersförpackningar,5,2023-01-15T12:59:24
Pappersförpackningar,5,2023-01-16T14:21:34
Pappersförpackningar,5,2023-01-18T07:48:40
Städning,0,2023-01-19T08:52:09
Metallförpackningar,3,2023-01-19T08:14:57
Pappersförpackningar,5,2023-01-20T06:01:59
Plastförpackningar,16,2023-01-20T08:48:24
Pappersförpackningar,5,2023-01-22T06:46:36
