material,materialid,maintenance
Städning,0,2022-10-28T09:33:42
Metallförpackningar,3,2022-10-13T11:29:45
Pappersförpackningar,5,2022-10-31T12:35:10
Tidningar,13,2022-10-13T07:28:15
Plastförpackningar,16,2022-10-31T07:33:10
Ofärgade glasförpackningar,18,2022-10-20T12:30:40
Färgade glasförpackningar,19,2022-10-20T12:30:40
Städning,0,2022-11-02T08:02:43
Pappersförpackningar,5,2022-11-02T10:19:00
Tidningar,13,2022-11-03T11:41:24
Ofärgade glasförpackningar,18,2022-11-03T08:46:01
Färgade glasförpackningar,19,2022-11-03T08:46:01
Städning,0,2022-11-04T16:28:38
Pappersförpackningar,5,2022-11-04T13:39:14
Pappersförpackningar,5,2022-11-06T07:20:19
Pappersförpackningar,5,2022-11-07T12:25:33
Plastförpackningar,16,2022-11-07T08:49:53
Städning,0,2022-11-09T09:33:52
Pappersförpackningar,5,2022-11-09T11:49:58
Metallförpackningar,3,2022-11-10T12:41:37
Städning,0,2022-11-11T09:44:10
Pappersförpackningar,5,2022-11-11T12:18:42
Pappersförpackningar,5,2022-11-13T12:58:19
Pappersförpackningar,5,2022-11-14T13:33:03
Plastförpackningar,16,2022-11-14T14:07:31
Städning,0,2022-11-16T08:29:11
Pappersförpackningar,5,2022-11-16T11:09:57
Ofärgade glasförpackningar,18,2022-11-17T13:12:40
Färgade glasförpackningar,19,2022-11-17T13:12:40
Städning,0,2022-11-18T07:39:01
Pappersförpackningar,5,2022-11-18T09:36:14
Pappersförpackningar,5,2022-11-20T09:53:00
Pappersförpackningar,5,2022-11-21T13:04:39
Plastförpackningar,16,2022-11-21T16:46:54
Städning,0,2022-11-23T08:59:43
Pappersförpackningar,5,2022-11-23T12:18:20
Tidningar,13,2022-11-24T07:30:03
Städning,0,2022-11-25T09:49:10
Pappersförpackningar,5,2022-11-25T09:33:11
