material,materialid,maintenance
Städning,0,2022-11-01T09:32:55
Metallförpackningar,3,2022-10-31T07:48:46
Pappersförpackningar,5,2022-11-01T08:47:55
Tidningar,13,2022-11-01T08:14:28
Plastförpackningar,16,2022-11-01T15:54:35
Ofärgade glasförpackningar,18,2022-10-30T10:46:18
Färgade glasförpackningar,19,2022-10-30T10:46:18
Städning,0,2022-11-02T11:50:40
Pappersförpackningar,5,2022-11-02T07:47:00
Städning,0,2022-11-03T07:26:16
Plastförpackningar,16,2022-11-03T15:52:50
Städning,0,2022-11-04T13:21:27
Pappersförpackningar,5,2022-11-04T08:37:44
Plastförpackningar,16,2022-11-04T14:41:57
Ofärgade glasförpackningar,18,2022-11-04T19:25:30
Färgade glasförpackningar,19,2022-11-04T19:25:30
Pappersförpackningar,5,2022-11-05T17:48:43
Plastförpackningar,16,2022-11-05T15:22:55
Städning,0,2022-11-06T07:23:52
Pappersförpackningar,5,2022-11-06T15:01:16
Plastförpackningar,16,2022-11-06T14:58:07
Städning,0,2022-11-07T12:15:54
Metallförpackningar,3,2022-11-07T10:46:25
Pappersförpackningar,5,2022-11-07T08:33:44
Plastförpackningar,16,2022-11-07T16:20:14
Städning,0,2022-11-08T10:54:48
Pappersförpackningar,5,2022-11-08T08:27:16
Tidningar,13,2022-11-08T07:27:37
Plastförpackningar,16,2022-11-08T15:45:58
Städning,0,2022-11-09T09:50:39
Städning,0,2022-11-10T07:28:04
Pappersförpackningar,5,2022-11-10T07:48:57
Plastförpackningar,16,2022-11-10T15:48:36
Ofärgade glasförpackningar,18,2022-11-10T15:52:16
Färgade glasförpackningar,19,2022-11-10T15:52:16
Städning,0,2022-11-11T11:29:11
Plastförpackningar,16,2022-11-11T13:54:08
Pappersförpackningar,5,2022-11-12T15:21:01
Plastförpackningar,16,2022-11-12T16:18:59
Städning,0,2022-11-13T07:31:49
Pappersförpackningar,5,2022-11-13T15:00:22
Plastförpackningar,16,2022-11-13T15:02:24
Städning,0,2022-11-14T12:10:44
Metallförpackningar,3,2022-11-14T08:40:57
Plastförpackningar,16,2022-11-14T16:35:42
Städning,0,2022-11-15T11:11:52
Pappersförpackningar,5,2022-11-15T07:13:29
Tidningar,13,2022-11-15T08:09:02
Plastförpackningar,16,2022-11-15T14:53:12
Städning,0,2022-11-16T09:59:23
Städning,0,2022-11-17T07:23:52
Pappersförpackningar,5,2022-11-17T07:10:25
Plastförpackningar,16,2022-11-17T15:49:26
Städning,0,2022-11-18T10:36:39
Plastförpackningar,16,2022-11-18T15:28:13
Pappersförpackningar,5,2022-11-19T15:44:19
Plastförpackningar,16,2022-11-19T16:41:14
Städning,0,2022-11-20T07:34:14
Pappersförpackningar,5,2022-11-20T14:46:07
Plastförpackningar,16,2022-11-20T14:45:04
Städning,0,2022-11-21T11:23:26
Pappersförpackningar,5,2022-11-21T09:53:43
Plastförpackningar,16,2022-11-21T15:28:18
