material,materialid,maintenance
Städning,0,2022-10-31T07:45:47
Metallförpackningar,3,2022-10-26T09:49:26
Pappersförpackningar,5,2022-10-27T21:20:54
Tidningar,13,2022-10-18T08:50:15
Plastförpackningar,16,2022-10-26T19:39:31
Ofärgade glasförpackningar,18,2022-09-13T10:35:58
Färgade glasförpackningar,19,2022-09-13T10:35:58
Städning,0,2022-11-02T08:41:23
Pappersförpackningar,5,2022-11-03T18:52:46
Städning,0,2022-11-04T08:01:34
Pappersförpackningar,5,2022-11-10T18:08:40
Städning,0,2022-11-11T08:31:17
Städning,0,2022-11-14T08:10:14
Tidningar,13,2022-11-15T08:43:30
Städning,0,2022-11-16T08:19:21
Pappersförpackningar,5,2022-11-17T20:50:07
Städning,0,2022-11-18T07:51:24
Metallförpackningar,3,2022-11-23T08:38:04
Plastförpackningar,16,2022-11-23T20:45:53
Pappersförpackningar,5,2022-11-24T18:57:55
Städning,0,2022-11-25T09:26:52
Städning,0,2022-12-09T08:14:46
Pappersförpackningar,5,2022-12-08T19:47:18
Tidningar,13,2022-12-13T09:05:35
Ofärgade glasförpackningar,18,2022-12-07T09:26:02
Färgade glasförpackningar,19,2022-12-07T09:26:02
Städning,0,2022-12-19T11:13:23
Metallförpackningar,3,2022-12-21T09:21:15
Pappersförpackningar,5,2022-12-29T23:05:00
Plastförpackningar,16,2022-12-21T20:39:22
Pappersförpackningar,5,2023-01-12T20:18:06
Tidningar,13,2023-01-10T16:24:44
Metallförpackningar,3,2023-01-18T10:33:19
Plastförpackningar,16,2023-01-18T19:24:10
Pappersförpackningar,5,2023-01-19T19:08:26
Pappersförpackningar,5,2023-01-26T20:53:14
Pappersförpackningar,5,2023-02-02T19:17:08
Tidningar,13,2023-02-07T08:42:06
Pappersförpackningar,5,2023-02-09T21:58:47
Metallförpackningar,3,2023-02-15T09:05:17
Plastförpackningar,16,2023-02-15T18:38:37
Ofärgade glasförpackningar,18,2023-02-15T08:26:09
Färgade glasförpackningar,19,2023-02-15T08:26:09
Pappersförpackningar,5,2023-02-16T18:06:50
Pappersförpackningar,5,2023-02-23T19:46:24
Pappersförpackningar,5,2023-03-02T18:44:59
Tidningar,13,2023-03-07T08:24:27
Pappersförpackningar,5,2023-03-09T18:26:52
Metallförpackningar,3,2023-03-15T10:23:41
Plastförpackningar,16,2023-03-15T20:06:01
Pappersförpackningar,5,2023-03-16T18:35:46
Pappersförpackningar,5,2023-03-23T19:15:47
Pappersförpackningar,5,2023-03-30T19:37:45
Tidningar,13,2023-04-04T18:00:39
Pappersförpackningar,5,2023-04-06T19:34:23
