material,materialid,maintenance
Städning,0,2022-10-29T07:56:06
Metallförpackningar,3,2022-10-05T16:08:27
Pappersförpackningar,5,2022-10-31T14:53:42
Tidningar,13,2022-10-25T08:07:43
Plastförpackningar,16,2022-10-31T13:44:31
Ofärgade glasförpackningar,18,2022-10-20T18:56:49
Färgade glasförpackningar,19,2022-10-20T18:56:49
Städning,0,2022-11-02T08:12:09
Metallförpackningar,3,2022-11-02T09:39:49
Plastförpackningar,16,2022-11-03T10:04:59
Pappersförpackningar,5,2022-11-04T11:27:52
Städning,0,2022-11-05T15:38:31
Ofärgade glasförpackningar,18,2022-11-05T13:02:04
Färgade glasförpackningar,19,2022-11-05T13:02:04
Pappersförpackningar,5,2022-11-07T11:50:18
Plastförpackningar,16,2022-11-07T11:45:08
Tidningar,13,2022-11-08T08:30:56
Städning,0,2022-11-09T09:07:08
Plastförpackningar,16,2022-11-10T10:05:09
Pappersförpackningar,5,2022-11-11T11:42:15
Städning,0,2022-11-12T07:53:19
