material,materialid,maintenance
Städning,0,2022-11-29T10:58:33
Städning,0,2022-12-13T10:50:36
Pappersförpackningar,5,2022-12-07T10:39:12
Plastförpackningar,16,2022-12-12T17:03:58
Städning,0,2023-01-03T11:17:32
Pappersförpackningar,5,2023-01-02T08:09:49
Plastförpackningar,16,2023-01-02T18:47:21
Städning,0,2023-01-13T09:12:32
Pappersförpackningar,5,2023-01-13T06:57:41
Plastförpackningar,16,2023-01-09T18:20:06
Pappersförpackningar,5,2023-01-15T08:44:57
Plastförpackningar,16,2023-01-16T17:36:07
Städning,0,2023-01-17T10:06:53
Pappersförpackningar,5,2023-01-18T08:31:48
Plastförpackningar,16,2023-01-19T19:15:40
Städning,0,2023-01-20T09:17:33
Pappersförpackningar,5,2023-01-20T06:39:59
Pappersförpackningar,5,2023-01-22T09:06:55
Plastförpackningar,16,2023-01-23T17:24:14
Städning,0,2023-01-24T11:12:56
Pappersförpackningar,5,2023-01-25T09:51:19
Metallförpackningar,3,2023-01-23T11:17:16
Plastförpackningar,16,2023-01-26T18:48:03
Städning,0,2023-01-27T09:15:31
Pappersförpackningar,5,2023-01-27T06:57:50
Pappersförpackningar,5,2023-01-29T09:38:34
Plastförpackningar,16,2023-01-30T18:01:09
Städning,0,2023-01-31T10:26:36
Pappersförpackningar,5,2023-02-01T10:44:46
Plastförpackningar,16,2023-02-02T18:05:48
Städning,0,2023-02-03T09:41:09
Pappersförpackningar,5,2023-02-03T07:06:03
Pappersförpackningar,5,2023-02-05T08:53:51
Plastförpackningar,16,2023-02-06T19:41:03
Städning,0,2023-02-07T10:52:52
Pappersförpackningar,5,2023-02-08T10:17:16
Städning,0,2023-02-10T08:30:45
Pappersförpackningar,5,2023-02-10T08:04:56
Plastförpackningar,16,2023-02-09T18:21:03
Pappersförpackningar,5,2023-02-12T09:11:37
Plastförpackningar,16,2023-02-13T17:30:30
Städning,0,2023-02-14T11:33:18
Pappersförpackningar,5,2023-02-15T08:57:58
Plastförpackningar,16,2023-02-16T17:00:48
Städning,0,2023-02-17T09:07:38
Pappersförpackningar,5,2023-02-17T06:59:17
Pappersförpackningar,5,2023-02-19T10:16:49
Plastförpackningar,16,2023-02-20T17:41:50
Städning,0,2023-02-21T10:33:25
Pappersförpackningar,5,2023-02-22T10:01:40
Plastförpackningar,16,2023-02-23T17:29:52
Städning,0,2023-02-24T08:58:47
Pappersförpackningar,5,2023-02-24T06:58:11
Pappersförpackningar,5,2023-02-26T08:51:34
Plastförpackningar,16,2023-02-27T19:55:42
Städning,0,2023-02-28T10:51:42
Plastförpackningar,16,2023-03-02T17:15:40
Städning,0,2023-03-03T09:59:53
Pappersförpackningar,5,2023-03-05T09:57:20
Plastförpackningar,16,2023-03-06T17:55:19
Städning,0,2023-03-07T11:39:02
Pappersförpackningar,5,2023-03-08T10:27:28
Städning,0,2023-03-10T11:11:29
Pappersförpackningar,5,2023-03-12T08:20:04
Städning,0,2023-03-14T11:32:10
Pappersförpackningar,5,2023-03-15T10:02:02
Plastförpackningar,16,2023-03-16T17:44:54
Städning,0,2023-03-17T09:50:24
Pappersförpackningar,5,2023-03-19T09:08:28
Metallförpackningar,3,2023-03-20T09:09:45
Plastförpackningar,16,2023-03-20T17:15:03
Städning,0,2023-03-21T10:44:14
Pappersförpackningar,5,2023-03-22T10:55:23
Plastförpackningar,16,2023-03-23T17:46:44
Städning,0,2023-03-24T09:55:05
Pappersförpackningar,5,2023-03-26T09:15:19
Plastförpackningar,16,2023-03-27T18:13:01
Städning,0,2023-03-28T10:04:36
Pappersförpackningar,5,2023-03-29T09:49:40
Plastförpackningar,16,2023-03-30T18:47:07
