material,materialid,maintenance
Städning,0,2022-10-29T10:34:22
Metallförpackningar,3,2022-10-24T07:41:24
Pappersförpackningar,5,2022-10-31T10:25:30
Plastförpackningar,16,2022-10-31T19:09:01
Städning,0,2022-11-01T11:59:06
Pappersförpackningar,5,2022-11-01T08:40:41
Pappersförpackningar,5,2022-11-02T09:48:33
Plastförpackningar,16,2022-11-02T15:20:18
Städning,0,2022-11-03T08:48:47
Pappersförpackningar,5,2022-11-03T09:28:47
Pappersförpackningar,5,2022-11-04T12:53:56
Plastförpackningar,16,2022-11-04T17:31:10
Städning,0,2022-11-05T12:56:35
Pappersförpackningar,5,2022-11-05T10:20:51
Pappersförpackningar,5,2022-11-06T09:56:23
Metallförpackningar,3,2022-11-07T07:13:31
Pappersförpackningar,5,2022-11-07T10:34:28
Plastförpackningar,16,2022-11-07T19:16:46
Städning,0,2022-11-08T12:38:11
Pappersförpackningar,5,2022-11-08T13:38:35
Pappersförpackningar,5,2022-11-09T11:04:56
Plastförpackningar,16,2022-11-09T10:31:46
