material,materialid,maintenance
Metallförpackningar,3,2022-09-14T10:08:09
Pappersförpackningar,5,2022-10-31T09:15:00
Tidningar,13,2022-09-07T10:48:06
Plastförpackningar,16,2022-10-28T06:26:37
Ofärgade glasförpackningar,18,2022-10-21T12:07:43
Färgade glasförpackningar,19,2022-10-21T12:07:43
Pappersförpackningar,5,2022-11-02T06:24:14
Plastförpackningar,16,2022-11-02T06:24:14
Pappersförpackningar,5,2022-11-04T06:25:35
Plastförpackningar,16,2022-11-04T06:25:35
Ofärgade glasförpackningar,18,2022-11-04T12:25:08
Färgade glasförpackningar,19,2022-11-04T12:25:08
Metallförpackningar,3,2022-11-07T11:32:15
Pappersförpackningar,5,2022-11-07T06:13:56
Pappersförpackningar,5,2022-11-09T12:30:27
Plastförpackningar,16,2022-11-09T12:30:27
Pappersförpackningar,5,2022-11-11T07:24:56
Plastförpackningar,16,2022-11-11T07:24:56
Pappersförpackningar,5,2022-11-14T09:05:46
Pappersförpackningar,5,2022-11-16T06:39:58
Plastförpackningar,16,2022-11-16T06:39:58
Ofärgade glasförpackningar,18,2022-11-17T12:19:55
Färgade glasförpackningar,19,2022-11-17T12:19:55
Pappersförpackningar,5,2022-11-18T06:11:57
Plastförpackningar,16,2022-11-18T06:11:57
Pappersförpackningar,5,2022-11-21T10:31:20
Pappersförpackningar,5,2022-11-23T09:47:32
Plastförpackningar,16,2022-11-23T09:47:32
Pappersförpackningar,5,2022-11-25T06:22:13
Plastförpackningar,16,2022-11-25T06:22:13
Pappersförpackningar,5,2022-11-29T06:09:01
