material,materialid,maintenance
Städning,0,2022-11-01T09:52:09
Metallförpackningar,3,2022-10-25T15:51:44
Pappersförpackningar,5,2022-11-01T06:48:34
Tidningar,13,2022-11-01T11:38:42
Plastförpackningar,16,2022-10-31T14:58:23
Ofärgade glasförpackningar,18,2022-10-31T07:52:48
Färgade glasförpackningar,19,2022-10-31T07:52:48
Pappersförpackningar,5,2022-11-02T06:41:58
Städning,0,2022-11-03T09:04:51
Pappersförpackningar,5,2022-11-03T06:51:27
Pappersförpackningar,5,2022-11-04T06:45:04
Plastförpackningar,16,2022-11-04T09:39:44
Städning,0,2022-11-05T08:46:32
Pappersförpackningar,5,2022-11-05T12:35:25
Pappersförpackningar,5,2022-11-06T16:23:13
Pappersförpackningar,5,2022-11-07T06:36:15
Plastförpackningar,16,2022-11-07T16:09:23
Städning,0,2022-11-08T08:40:18
Pappersförpackningar,5,2022-11-08T07:10:07
