material,materialid,maintenance
Städning,0,2022-11-01T10:34:22
Metallförpackningar,3,2022-09-21T09:55:33
Pappersförpackningar,5,2022-10-31T08:45:24
Tidningar,13,2022-10-19T08:49:48
Plastförpackningar,16,2022-10-27T07:16:09
Ofärgade glasförpackningar,18,2022-10-03T19:58:27
Färgade glasförpackningar,19,2022-10-03T19:58:27
Städning,0,2022-11-03T05:36:49
Pappersförpackningar,5,2022-11-03T07:42:10
Plastförpackningar,16,2022-11-03T07:00:25
Pappersförpackningar,5,2022-11-07T06:20:30
Städning,0,2022-11-08T10:03:59
Tidningar,13,2022-11-08T17:32:39
Städning,0,2022-11-10T05:46:09
Pappersförpackningar,5,2022-11-10T07:51:52
Plastförpackningar,16,2022-11-10T07:21:56
Pappersförpackningar,5,2022-11-14T06:28:59
Städning,0,2022-11-15T10:25:50
Metallförpackningar,3,2022-11-16T15:05:56
Städning,0,2022-11-17T06:06:36
Pappersförpackningar,5,2022-11-17T14:17:57
Plastförpackningar,16,2022-11-17T07:01:39
Ofärgade glasförpackningar,18,2022-11-17T09:31:13
Färgade glasförpackningar,19,2022-11-17T09:31:13
Pappersförpackningar,5,2022-11-21T11:57:29
Städning,0,2022-11-22T11:02:42
Städning,0,2022-11-24T15:34:39
Pappersförpackningar,5,2022-11-24T07:59:15
Plastförpackningar,16,2022-11-24T07:10:04
Pappersförpackningar,5,2022-11-28T07:23:11
Städning,0,2022-11-29T10:18:17
Städning,0,2022-12-13T09:05:38
Pappersförpackningar,5,2022-12-12T07:53:35
Tidningar,13,2022-12-05T18:16:27
Plastförpackningar,16,2022-12-08T07:17:51
Städning,0,2023-01-03T10:31:34
Pappersförpackningar,5,2023-01-02T12:06:02
Plastförpackningar,16,2022-12-29T07:15:33
Städning,0,2023-01-12T05:32:21
Metallförpackningar,3,2023-01-11T10:33:52
Pappersförpackningar,5,2023-01-12T07:15:06
Plastförpackningar,16,2023-01-12T06:56:36
Ofärgade glasförpackningar,18,2023-01-09T19:16:10
Färgade glasförpackningar,19,2023-01-09T19:16:10
Pappersförpackningar,5,2023-01-16T11:24:25
Städning,0,2023-01-17T09:51:38
Städning,0,2023-01-19T05:08:11
Pappersförpackningar,5,2023-01-19T08:33:47
Plastförpackningar,16,2023-01-19T07:05:15
Pappersförpackningar,5,2023-01-23T10:41:45
Städning,0,2023-01-24T09:18:11
Städning,0,2023-01-26T05:33:45
Pappersförpackningar,5,2023-01-26T07:55:33
Plastförpackningar,16,2023-01-26T07:03:19
Pappersförpackningar,5,2023-01-30T10:59:16
Städning,0,2023-01-31T09:32:22
Ofärgade glasförpackningar,18,2023-01-31T20:13:37
Färgade glasförpackningar,19,2023-01-31T20:13:37
Städning,0,2023-02-02T05:32:01
Pappersförpackningar,5,2023-02-02T08:17:50
Plastförpackningar,16,2023-02-02T07:18:57
Pappersförpackningar,5,2023-02-06T11:20:16
Städning,0,2023-02-07T08:50:58
Städning,0,2023-02-09T05:13:36
Pappersförpackningar,5,2023-02-09T14:39:28
Plastförpackningar,16,2023-02-09T07:02:39
