material,materialid,maintenance
Pappersförpackningar,5,2022-11-01T09:32:46
Plastförpackningar,16,2022-11-01T09:32:46
Ofärgade glasförpackningar,18,2022-10-24T11:47:53
Färgade glasförpackningar,19,2022-10-24T11:47:53
Plastförpackningar,16,2022-11-03T08:34:50
Pappersförpackningar,5,2022-11-07T11:02:13
Plastförpackningar,16,2022-11-07T11:02:13
Plastförpackningar,16,2022-11-10T09:17:52
Pappersförpackningar,5,2022-11-14T10:12:12
Plastförpackningar,16,2022-11-14T10:12:12
Plastförpackningar,16,2022-11-17T08:19:05
Pappersförpackningar,5,2022-11-21T16:42:06
Plastförpackningar,16,2022-11-21T16:42:06
Plastförpackningar,16,2022-11-24T08:25:54
Pappersförpackningar,5,2022-11-28T10:24:13
Plastförpackningar,16,2022-11-28T10:24:13
Pappersförpackningar,5,2022-12-12T12:34:45
Plastförpackningar,16,2022-12-12T12:34:45
Pappersförpackningar,5,2023-01-02T15:23:46
Plastförpackningar,16,2023-01-02T15:23:46
Pappersförpackningar,5,2023-01-09T10:18:16
Plastförpackningar,16,2023-01-13T15:11:07
Pappersförpackningar,5,2023-01-16T17:59:46
Plastförpackningar,16,2023-01-16T17:59:46
Ofärgade glasförpackningar,18,2023-01-17T13:29:00
Färgade glasförpackningar,19,2023-01-17T13:29:00
Plastförpackningar,16,2023-01-19T08:34:28
Pappersförpackningar,5,2023-01-23T16:11:41
Plastförpackningar,16,2023-01-26T15:13:17
Pappersförpackningar,5,2023-01-30T13:00:08
Plastförpackningar,16,2023-01-30T13:00:08
Plastförpackningar,16,2023-02-02T12:10:38
Pappersförpackningar,5,2023-02-06T12:21:41
Plastförpackningar,16,2023-02-06T12:21:41
Plastförpackningar,16,2023-02-09T11:52:59
Pappersförpackningar,5,2023-02-13T13:14:00
Plastförpackningar,16,2023-02-13T13:14:00
Plastförpackningar,16,2023-02-16T08:49:47
Pappersförpackningar,5,2023-02-20T18:40:39
Plastförpackningar,16,2023-02-20T18:40:39
Plastförpackningar,16,2023-02-23T09:56:32
Pappersförpackningar,5,2023-02-27T11:09:34
Plastförpackningar,16,2023-02-27T11:09:34
Plastförpackningar,16,2023-03-02T08:27:17
Pappersförpackningar,5,2023-03-06T12:41:18
Plastförpackningar,16,2023-03-06T12:41:18
Plastförpackningar,16,2023-03-09T07:33:31
Pappersförpackningar,5,2023-03-13T13:15:23
Plastförpackningar,16,2023-03-13T13:15:23
Plastförpackningar,16,2023-03-16T08:00:56
Pappersförpackningar,5,2023-03-20T15:21:53
Plastförpackningar,16,2023-03-20T15:21:53
Plastförpackningar,16,2023-03-23T15:41:36
Pappersförpackningar,5,2023-03-28T12:44:45
Plastförpackningar,16,2023-03-28T12:44:45
Plastförpackningar,16,2023-03-30T09:34:25
