material,materialid,maintenance
Städning,0,2022-10-31T14:05:16
Metallförpackningar,3,2022-10-21T15:52:21
Pappersförpackningar,5,2022-11-01T14:50:31
Plastförpackningar,16,2022-11-01T11:55:33
Ofärgade glasförpackningar,18,2022-10-25T16:48:21
Färgade glasförpackningar,19,2022-10-25T16:48:21
Städning,0,2022-11-02T11:39:47
Metallförpackningar,3,2022-11-02T14:52:40
Pappersförpackningar,5,2022-11-02T10:13:21
Metallförpackningar,3,2022-11-02T15:44:50
Pappersförpackningar,5,2022-11-03T11:11:53
Plastförpackningar,16,2022-11-03T07:59:20
Städning,0,2022-11-04T11:46:04
Pappersförpackningar,5,2022-11-04T09:40:02
Pappersförpackningar,5,2022-11-05T18:25:18
Plastförpackningar,16,2022-11-05T15:55:47
Städning,0,2022-11-06T13:10:28
Pappersförpackningar,5,2022-11-06T06:59:36
Städning,0,2022-11-07T14:34:14
Pappersförpackningar,5,2022-11-07T12:00:39
Pappersförpackningar,5,2022-11-08T18:19:16
Plastförpackningar,16,2022-11-08T11:47:52
Ofärgade glasförpackningar,18,2022-11-08T10:37:16
Färgade glasförpackningar,19,2022-11-08T10:37:16
Städning,0,2022-11-09T11:11:35
Pappersförpackningar,5,2022-11-09T11:51:12
Pappersförpackningar,5,2022-11-10T15:14:24
Plastförpackningar,16,2022-11-10T10:00:15
Städning,0,2022-11-11T11:54:47
Pappersförpackningar,5,2022-11-11T11:57:29
Pappersförpackningar,5,2022-11-12T18:06:06
Plastförpackningar,16,2022-11-12T13:45:24
Städning,0,2022-11-13T11:04:01
Pappersförpackningar,5,2022-11-13T18:37:45
Städning,0,2022-11-14T14:06:19
Pappersförpackningar,5,2022-11-14T14:01:03
Pappersförpackningar,5,2022-11-15T16:43:57
Plastförpackningar,16,2022-11-15T12:52:37
Städning,0,2022-11-16T11:19:56
Metallförpackningar,3,2022-11-16T14:18:50
Pappersförpackningar,5,2022-11-16T07:36:23
Pappersförpackningar,5,2022-11-17T12:41:07
Plastförpackningar,16,2022-11-17T06:28:30
Städning,0,2022-11-18T13:56:20
Pappersförpackningar,5,2022-11-18T12:18:04
Pappersförpackningar,5,2022-11-19T17:52:01
Plastförpackningar,16,2022-11-19T13:36:27
Städning,0,2022-11-20T11:07:49
Pappersförpackningar,5,2022-11-20T09:43:08
Städning,0,2022-11-21T11:54:40
Pappersförpackningar,5,2022-11-21T13:15:16
Ofärgade glasförpackningar,18,2022-11-21T18:00:07
Färgade glasförpackningar,19,2022-11-21T18:00:07
Städning,0,2022-11-23T14:39:36
Pappersförpackningar,5,2022-11-23T11:49:25
Plastförpackningar,16,2022-11-22T12:28:59
Pappersförpackningar,5,2022-11-24T14:44:31
Plastförpackningar,16,2022-11-24T08:27:54
Städning,0,2022-11-25T14:28:35
Pappersförpackningar,5,2022-11-25T12:03:31
Pappersförpackningar,5,2022-11-26T15:12:55
Plastförpackningar,16,2022-11-26T11:09:08
Städning,0,2022-11-27T11:11:28
Pappersförpackningar,5,2022-11-27T10:49:57
Städning,0,2022-11-28T14:50:28
Pappersförpackningar,5,2022-11-28T17:01:10
Pappersförpackningar,5,2022-11-29T16:34:51
Plastförpackningar,16,2022-11-29T13:17:43
Städning,0,2022-12-12T11:19:56
Metallförpackningar,3,2022-11-30T16:44:06
Pappersförpackningar,5,2022-12-12T12:41:31
Plastförpackningar,16,2022-12-13T12:56:09
Ofärgade glasförpackningar,18,2022-12-05T08:53:34
Färgade glasförpackningar,19,2022-12-05T08:53:34
Städning,0,2023-01-02T13:39:40
Metallförpackningar,3,2022-12-30T09:43:15
Pappersförpackningar,5,2023-01-02T13:26:33
Plastförpackningar,16,2022-12-31T15:22:48
Ofärgade glasförpackningar,18,2022-12-30T08:27:18
Färgade glasförpackningar,19,2022-12-30T08:27:18
Städning,0,2023-01-13T11:52:50
Metallförpackningar,3,2023-01-11T12:49:33
Pappersförpackningar,5,2023-01-13T15:37:34
Plastförpackningar,16,2023-01-14T15:27:59
Ofärgade glasförpackningar,18,2023-01-10T07:45:10
Färgade glasförpackningar,19,2023-01-10T07:45:10
Städning,0,2023-01-15T11:00:50
Pappersförpackningar,5,2023-01-15T13:46:05
Städning,0,2023-01-16T12:07:34
Pappersförpackningar,5,2023-01-16T17:33:35
Ofärgade glasförpackningar,18,2023-01-16T07:50:29
Färgade glasförpackningar,19,2023-01-16T07:50:29
Pappersförpackningar,5,2023-01-17T17:17:12
Plastförpackningar,16,2023-01-17T18:12:14
Städning,0,2023-01-18T13:59:44
Pappersförpackningar,5,2023-01-19T14:46:10
Plastförpackningar,16,2023-01-19T15:35:02
Städning,0,2023-01-20T11:46:48
Pappersförpackningar,5,2023-01-20T14:43:26
Pappersförpackningar,5,2023-01-21T14:45:10
Plastförpackningar,16,2023-01-21T16:58:15
Städning,0,2023-01-22T10:23:35
Pappersförpackningar,5,2023-01-22T13:43:30
Städning,0,2023-01-23T12:11:55
Pappersförpackningar,5,2023-01-23T16:46:08
Ofärgade glasförpackningar,18,2023-01-23T07:16:49
Färgade glasförpackningar,19,2023-01-23T07:16:49
Pappersförpackningar,5,2023-01-24T16:34:36
Plastförpackningar,16,2023-01-24T12:57:52
Städning,0,2023-01-25T12:44:17
Pappersförpackningar,5,2023-01-25T12:10:20
Metallförpackningar,3,2023-01-26T10:23:22
Pappersförpackningar,5,2023-01-26T17:24:27
Plastförpackningar,16,2023-01-26T08:08:46
Städning,0,2023-01-27T11:22:58
Pappersförpackningar,5,2023-01-27T11:58:39
Pappersförpackningar,5,2023-01-28T14:14:22
Plastförpackningar,16,2023-01-28T12:11:38
Städning,0,2023-01-29T10:34:12
Pappersförpackningar,5,2023-01-29T12:53:21
Städning,0,2023-01-30T13:04:01
Pappersförpackningar,5,2023-01-30T11:59:29
Pappersförpackningar,5,2023-01-31T16:44:10
Plastförpackningar,16,2023-01-31T12:03:05
Städning,0,2023-02-01T10:59:03
Pappersförpackningar,5,2023-02-01T08:11:08
Pappersförpackningar,5,2023-02-02T17:22:47
Plastförpackningar,16,2023-02-02T10:19:12
Städning,0,2023-02-03T11:17:29
Pappersförpackningar,5,2023-02-03T14:00:14
Pappersförpackningar,5,2023-02-04T21:04:34
Plastförpackningar,16,2023-02-04T14:31:17
Städning,0,2023-02-05T10:00:01
Pappersförpackningar,5,2023-02-05T07:53:51
Städning,0,2023-02-06T11:39:57
Pappersförpackningar,5,2023-02-06T12:51:43
Ofärgade glasförpackningar,18,2023-02-06T12:18:15
Färgade glasförpackningar,19,2023-02-06T12:18:15
Pappersförpackningar,5,2023-02-07T17:12:53
Plastförpackningar,16,2023-02-07T12:28:49
Städning,0,2023-02-08T11:48:37
Metallförpackningar,3,2023-02-08T15:51:05
Pappersförpackningar,5,2023-02-08T07:51:00
Städning,0,2023-02-10T10:11:39
Pappersförpackningar,5,2023-02-10T11:49:20
Plastförpackningar,16,2023-02-09T10:02:14
Pappersförpackningar,5,2023-02-11T16:16:48
Plastförpackningar,16,2023-02-11T10:39:24
Städning,0,2023-02-12T11:09:22
Pappersförpackningar,5,2023-02-12T11:30:51
Städning,0,2023-02-13T14:57:53
Pappersförpackningar,5,2023-02-13T11:16:17
Pappersförpackningar,5,2023-02-14T15:10:50
Plastförpackningar,16,2023-02-14T11:51:13
Städning,0,2023-02-15T12:27:03
Pappersförpackningar,5,2023-02-15T06:57:10
Pappersförpackningar,5,2023-02-16T12:32:15
Plastförpackningar,16,2023-02-16T07:46:17
Städning,0,2023-02-17T13:51:00
Pappersförpackningar,5,2023-02-17T11:07:58
Pappersförpackningar,5,2023-02-18T17:20:55
Plastförpackningar,16,2023-02-18T11:09:16
Städning,0,2023-02-19T10:37:27
Pappersförpackningar,5,2023-02-19T11:03:41
Ofärgade glasförpackningar,18,2023-02-19T07:28:16
Färgade glasförpackningar,19,2023-02-19T07:28:16
Städning,0,2023-02-20T11:01:59
Pappersförpackningar,5,2023-02-20T12:26:13
Pappersförpackningar,5,2023-02-21T15:35:36
Plastförpackningar,16,2023-02-21T11:53:58
Städning,0,2023-02-22T14:12:25
Pappersförpackningar,5,2023-02-22T12:15:25
Plastförpackningar,16,2023-02-23T08:59:26
