material,materialid,maintenance
Städning,0,2022-10-31T12:46:08
Metallförpackningar,3,2022-10-05T07:17:34
Pappersförpackningar,5,2022-10-31T17:20:01
Tidningar,13,2022-08-25T10:00:42
Plastförpackningar,16,2022-11-01T19:16:05
Ofärgade glasförpackningar,18,2022-10-31T09:13:17
Färgade glasförpackningar,19,2022-10-31T09:13:17
Metallförpackningar,3,2022-11-02T10:48:50
Pappersförpackningar,5,2022-11-03T17:39:07
Plastförpackningar,16,2022-11-03T13:34:17
Städning,0,2022-11-04T07:50:48
Pappersförpackningar,5,2022-11-06T10:29:38
