material,materialid,maintenance
Städning,0,2022-11-01T12:50:18
Metallförpackningar,3,2022-11-01T13:09:35
Pappersförpackningar,5,2022-10-31T11:36:03
Tidningar,13,2022-06-30T15:24:46
Plastförpackningar,16,2022-10-26T08:25:10
Ofärgade glasförpackningar,18,2022-09-20T11:27:05
Färgade glasförpackningar,19,2022-09-20T11:27:05
Plastförpackningar,16,2022-11-02T08:31:52
Pappersförpackningar,5,2022-11-07T12:54:41
Städning,0,2022-11-08T13:47:09
Plastförpackningar,16,2022-11-09T08:31:37
Pappersförpackningar,5,2022-11-14T13:22:01
Städning,0,2022-11-15T13:49:22
Plastförpackningar,16,2022-11-16T08:43:24
Ofärgade glasförpackningar,18,2022-11-17T14:04:50
Färgade glasförpackningar,19,2022-11-17T14:04:50
Pappersförpackningar,5,2022-11-21T09:57:21
Städning,0,2022-11-22T10:44:45
Plastförpackningar,16,2022-11-23T08:35:31
Metallförpackningar,3,2022-11-28T11:42:57
Pappersförpackningar,5,2022-11-28T08:38:44
Städning,0,2022-11-29T13:12:17
Städning,0,2022-12-13T12:37:59
Pappersförpackningar,5,2022-12-12T09:40:51
Plastförpackningar,16,2022-12-07T10:34:05
Städning,0,2023-01-03T09:53:49
Metallförpackningar,3,2022-12-30T10:50:25
Pappersförpackningar,5,2023-01-02T14:20:21
Plastförpackningar,16,2022-12-28T08:39:17
Städning,0,2023-01-10T12:24:34
Pappersförpackningar,5,2023-01-09T12:45:12
Plastförpackningar,16,2023-01-11T08:46:41
Pappersförpackningar,5,2023-01-16T10:32:20
Städning,0,2023-01-17T13:09:29
Ofärgade glasförpackningar,18,2023-01-17T12:01:49
Färgade glasförpackningar,19,2023-01-17T12:01:49
Plastförpackningar,16,2023-01-18T08:40:04
Städning,0,2023-01-24T11:45:37
Metallförpackningar,3,2023-01-26T13:28:09
Plastförpackningar,16,2023-01-25T08:47:11
Pappersförpackningar,5,2023-01-23T10:26:12
Pappersförpackningar,5,2023-01-30T10:26:17
Städning,0,2023-01-31T11:09:35
Plastförpackningar,16,2023-02-01T08:27:30
Pappersförpackningar,5,2023-02-06T14:29:11
Städning,0,2023-02-07T11:51:58
Plastförpackningar,16,2023-02-08T08:33:01
Pappersförpackningar,5,2023-02-13T10:00:02
Städning,0,2023-02-14T12:44:50
Plastförpackningar,16,2023-02-15T08:27:58
Metallförpackningar,3,2023-02-20T13:36:35
Pappersförpackningar,5,2023-02-20T10:04:21
Städning,0,2023-02-21T11:07:04
Plastförpackningar,16,2023-02-22T08:34:26
Pappersförpackningar,5,2023-02-27T10:02:39
Städning,0,2023-02-28T10:47:56
Plastförpackningar,16,2023-03-01T08:24:40
Pappersförpackningar,5,2023-03-06T08:48:31
Städning,0,2023-03-07T09:33:00
Plastförpackningar,16,2023-03-08T13:56:44
Pappersförpackningar,5,2023-03-13T09:56:47
Städning,0,2023-03-14T10:14:24
Plastförpackningar,16,2023-03-15T09:10:35
Pappersförpackningar,5,2023-03-20T10:18:44
Städning,0,2023-03-21T10:20:36
Metallförpackningar,3,2023-03-22T14:00:56
Plastförpackningar,16,2023-03-22T08:35:05
Pappersförpackningar,5,2023-03-27T10:15:52
Städning,0,2023-03-28T10:27:14
Ofärgade glasförpackningar,18,2023-03-28T12:29:17
Färgade glasförpackningar,19,2023-03-28T12:29:17
Plastförpackningar,16,2023-03-29T08:28:12
Pappersförpackningar,5,2023-04-03T10:09:48
Städning,0,2023-04-04T10:43:57
Plastförpackningar,16,2023-04-05T12:58:00
Pappersförpackningar,5,2023-04-10T09:29:10
Städning,0,2023-04-11T11:00:03
Plastförpackningar,16,2023-04-12T08:36:27
Metallförpackningar,3,2023-04-17T14:56:06
Pappersförpackningar,5,2023-04-17T08:38:29
Städning,0,2023-04-18T11:28:38
Plastförpackningar,16,2023-04-19T08:35:27
Pappersförpackningar,5,2023-04-24T08:35:58
Städning,0,2023-04-25T11:38:41
Plastförpackningar,16,2023-04-26T08:32:11
Pappersförpackningar,5,2023-05-01T09:32:09
Städning,0,2023-05-02T11:32:33
Plastförpackningar,16,2023-05-03T08:39:21
Pappersförpackningar,5,2023-05-08T10:40:04
Städning,0,2023-05-09T11:31:05
Plastförpackningar,16,2023-05-10T08:41:36
Städning,0,2023-05-16T10:13:36
Metallförpackningar,3,2023-05-17T14:48:01
Pappersförpackningar,5,2023-05-15T10:44:39
Plastförpackningar,16,2023-05-17T13:09:11
Pappersförpackningar,5,2023-05-22T10:16:41
Städning,0,2023-05-23T10:52:57
Tidningar,13,2023-05-24T12:16:14
Plastförpackningar,16,2023-05-24T08:51:03
Pappersförpackningar,5,2023-05-29T13:24:09
Städning,0,2023-05-30T11:11:58
Ofärgade glasförpackningar,18,2023-05-30T12:39:45
Färgade glasförpackningar,19,2023-05-30T12:39:45
Plastförpackningar,16,2023-05-31T13:40:44
Pappersförpackningar,5,2023-06-05T08:22:37
Städning,0,2023-06-06T09:17:09
Plastförpackningar,16,2023-06-07T08:43:21
Pappersförpackningar,5,2023-06-12T09:54:26
Städning,0,2023-06-13T10:22:09
Metallförpackningar,3,2023-06-13T08:24:35
Plastförpackningar,16,2023-06-14T08:17:29
Pappersförpackningar,5,2023-06-19T08:41:40
Städning,0,2023-06-20T10:01:37
Plastförpackningar,16,2023-06-21T17:13:36
Pappersförpackningar,5,2023-06-23T07:25:09
Pappersförpackningar,5,2023-06-26T08:19:35
