material,materialid,maintenance
Städning,0,2022-10-31T12:57:47
Metallförpackningar,3,2022-10-17T12:00:17
Pappersförpackningar,5,2022-11-01T09:13:29
Tidningar,13,2022-10-20T15:11:06
Plastförpackningar,16,2022-11-01T09:13:29
Ofärgade glasförpackningar,18,2022-10-06T14:07:22
Färgade glasförpackningar,19,2022-10-06T14:07:22
Städning,0,2022-11-03T14:03:16
Pappersförpackningar,5,2022-11-04T07:34:29
Städning,0,2022-11-07T13:08:49
Pappersförpackningar,5,2022-11-08T11:12:55
Plastförpackningar,16,2022-11-08T11:12:55
Städning,0,2022-11-10T13:03:14
Pappersförpackningar,5,2022-11-11T07:39:24
Städning,0,2022-11-14T13:50:30
Metallförpackningar,3,2022-11-14T09:29:01
Pappersförpackningar,5,2022-11-15T17:14:40
Plastförpackningar,16,2022-11-15T17:14:40
Städning,0,2022-11-17T13:07:25
Pappersförpackningar,5,2022-11-18T09:51:05
Städning,0,2022-11-21T13:32:30
Pappersförpackningar,5,2022-11-22T07:51:39
Tidningar,13,2022-11-23T12:42:00
Plastförpackningar,16,2022-11-22T07:51:39
Städning,0,2022-11-24T13:46:57
Städning,0,2022-11-28T13:07:15
Ofärgade glasförpackningar,18,2022-11-29T11:58:15
Färgade glasförpackningar,19,2022-11-29T11:58:15
Städning,0,2022-12-12T13:59:03
Metallförpackningar,3,2022-12-13T12:13:41
Pappersförpackningar,5,2022-12-09T08:49:35
Plastförpackningar,16,2022-12-06T08:12:57
Städning,0,2023-01-02T15:18:28
Pappersförpackningar,5,2023-01-03T08:46:36
Tidningar,13,2022-12-22T14:30:53
Plastförpackningar,16,2023-01-03T08:46:36
Städning,0,2023-01-12T13:14:27
Metallförpackningar,3,2023-01-09T11:50:41
Pappersförpackningar,5,2023-01-13T06:29:00
Plastförpackningar,16,2023-01-10T07:25:53
Ofärgade glasförpackningar,18,2023-01-11T22:48:45
Färgade glasförpackningar,19,2023-01-11T22:48:45
Städning,0,2023-01-17T13:20:25
Pappersförpackningar,5,2023-01-17T07:35:53
Plastförpackningar,16,2023-01-17T07:35:53
Städning,0,2023-01-19T12:39:22
Pappersförpackningar,5,2023-01-20T07:50:15
Städning,0,2023-01-23T13:23:52
Pappersförpackningar,5,2023-01-24T07:14:58
Plastförpackningar,16,2023-01-24T07:14:58
Städning,0,2023-01-26T13:28:20
Pappersförpackningar,5,2023-01-27T06:22:20
Städning,0,2023-01-30T13:40:20
Pappersförpackningar,5,2023-01-31T07:30:52
Tidningar,13,2023-01-23T11:33:26
Plastförpackningar,16,2023-01-31T07:30:52
Städning,0,2023-02-02T13:32:50
Pappersförpackningar,5,2023-02-03T11:48:08
Städning,0,2023-02-06T12:54:45
Metallförpackningar,3,2023-02-06T13:11:07
Pappersförpackningar,5,2023-02-07T13:39:59
Plastförpackningar,16,2023-02-07T13:39:59
Städning,0,2023-02-09T13:40:02
Pappersförpackningar,5,2023-02-10T07:57:49
Städning,0,2023-02-13T13:07:02
Tidningar,13,2023-02-13T15:44:36
Pappersförpackningar,5,2023-02-14T07:43:32
Plastförpackningar,16,2023-02-14T07:43:32
Städning,0,2023-02-16T13:31:40
Ofärgade glasförpackningar,18,2023-02-16T16:57:30
Färgade glasförpackningar,19,2023-02-16T16:57:30
Pappersförpackningar,5,2023-02-17T06:55:30
Städning,0,2023-02-20T13:24:42
Pappersförpackningar,5,2023-02-21T07:31:46
Plastförpackningar,16,2023-02-21T07:31:46
Städning,0,2023-02-23T13:43:37
Pappersförpackningar,5,2023-02-24T07:24:43
