material,materialid,maintenance
Städning,0,2022-11-01T10:11:38
Metallförpackningar,3,2022-08-18T07:43:49
Pappersförpackningar,5,2022-10-26T10:31:11
Tidningar,13,2022-07-19T13:21:20
Plastförpackningar,16,2022-10-27T16:02:43
Ofärgade glasförpackningar,18,2022-09-21T13:19:42
Färgade glasförpackningar,19,2022-09-21T13:19:42
Städning,0,2022-11-08T10:01:20
Pappersförpackningar,5,2022-11-09T09:11:52
Plastförpackningar,16,2022-11-10T14:20:53
Städning,0,2022-11-15T11:19:38
Städning,0,2022-11-22T10:55:01
Pappersförpackningar,5,2022-11-23T11:07:00
Ofärgade glasförpackningar,18,2022-11-22T08:41:06
Färgade glasförpackningar,19,2022-11-22T08:41:06
Plastförpackningar,16,2022-11-24T15:55:07
Städning,0,2022-11-29T10:12:33
Städning,0,2022-12-13T10:38:57
Pappersförpackningar,5,2022-12-07T10:10:54
Tidningar,13,2022-12-09T09:24:31
Plastförpackningar,16,2022-12-08T15:07:00
Städning,0,2023-01-03T10:46:35
Metallförpackningar,3,2022-12-22T08:30:35
Pappersförpackningar,5,2022-12-28T07:52:28
Plastförpackningar,16,2022-12-23T10:57:25
Städning,0,2023-01-10T10:26:03
Pappersförpackningar,5,2023-01-04T08:40:23
Plastförpackningar,16,2023-01-05T16:47:35
Ofärgade glasförpackningar,18,2023-01-04T09:29:46
Färgade glasförpackningar,19,2023-01-04T09:29:46
Städning,0,2023-01-17T12:24:46
Pappersförpackningar,5,2023-01-18T08:40:59
Plastförpackningar,16,2023-01-19T10:30:55
Städning,0,2023-01-24T10:44:36
Städning,0,2023-01-31T10:13:14
Pappersförpackningar,5,2023-02-01T08:26:40
Plastförpackningar,16,2023-02-02T16:17:24
Städning,0,2023-02-07T10:25:21
Städning,0,2023-02-14T12:08:49
Pappersförpackningar,5,2023-02-15T11:04:32
Plastförpackningar,16,2023-02-16T12:19:32
Städning,0,2023-02-21T10:33:04
Städning,0,2023-02-28T10:10:34
Pappersförpackningar,5,2023-03-01T08:39:49
Plastförpackningar,16,2023-03-02T10:12:31
Ofärgade glasförpackningar,18,2023-03-03T07:57:58
Färgade glasförpackningar,19,2023-03-03T07:57:58
Städning,0,2023-03-07T09:05:15
Städning,0,2023-03-14T10:15:55
Pappersförpackningar,5,2023-03-15T08:29:12
Tidningar,13,2023-03-15T10:11:52
Plastförpackningar,16,2023-03-16T15:36:26
Städning,0,2023-03-21T10:05:27
Städning,0,2023-03-28T09:59:45
Pappersförpackningar,5,2023-03-29T08:46:06
Ofärgade glasförpackningar,18,2023-03-29T13:48:57
Färgade glasförpackningar,19,2023-03-29T13:48:57
Plastförpackningar,16,2023-03-30T15:45:36
Städning,0,2023-04-04T09:56:56
Städning,0,2023-04-12T10:04:53
Pappersförpackningar,5,2023-04-12T08:27:33
