material,materialid,maintenance
Städning,0,2022-11-01T09:59:38
Metallförpackningar,3,2022-10-13T14:26:43
Pappersförpackningar,5,2022-11-01T12:57:26
Tidningar,13,2022-08-12T11:07:07
Plastförpackningar,16,2022-10-25T15:36:22
Ofärgade glasförpackningar,18,2022-10-15T13:45:11
Färgade glasförpackningar,19,2022-10-15T13:45:11
Städning,0,2022-11-03T08:51:26
Pappersförpackningar,5,2022-11-03T10:40:47
Pappersförpackningar,5,2022-11-04T12:40:21
Pappersförpackningar,5,2022-11-06T09:35:26
Städning,0,2022-11-08T07:53:03
Pappersförpackningar,5,2022-11-08T12:37:56
Plastförpackningar,16,2022-11-08T15:30:07
Städning,0,2022-11-10T07:43:03
Pappersförpackningar,5,2022-11-10T11:30:46
Pappersförpackningar,5,2022-11-11T13:30:20
