material,materialid,maintenance
Städning,0,2022-10-23T12:34:51
Metallförpackningar,3,2022-08-05T10:01:58
Pappersförpackningar,5,2022-10-14T12:48:12
Tidningar,13,2022-08-05T10:01:58
Plastförpackningar,16,2022-10-14T12:48:12
Ofärgade glasförpackningar,18,2022-10-14T12:48:12
Färgade glasförpackningar,19,2022-10-14T12:48:12
Städning,0,2022-11-06T12:04:58
Pappersförpackningar,5,2022-11-11T10:04:52
Plastförpackningar,16,2022-11-11T10:04:52
Ofärgade glasförpackningar,18,2022-11-11T10:04:52
Färgade glasförpackningar,19,2022-11-11T10:04:52
Städning,0,2022-11-20T11:06:17
Städning,0,2022-12-04T11:30:31
Pappersförpackningar,5,2022-12-09T08:30:37
Plastförpackningar,16,2022-12-09T08:30:37
Ofärgade glasförpackningar,18,2022-12-09T08:30:37
Färgade glasförpackningar,19,2022-12-09T08:30:37
Städning,0,2023-01-01T20:37:06
Metallförpackningar,3,2022-12-23T09:29:47
Pappersförpackningar,5,2022-12-23T09:29:47
Tidningar,13,2022-12-23T09:29:47
Plastförpackningar,16,2022-12-23T09:29:47
Pappersförpackningar,5,2023-01-06T08:48:57
Plastförpackningar,16,2023-01-06T08:48:57
Ofärgade glasförpackningar,18,2023-01-06T08:48:57
Färgade glasförpackningar,19,2023-01-06T08:48:57
Städning,0,2023-01-15T13:09:40
Städning,0,2023-01-29T14:26:01
Pappersförpackningar,5,2023-02-03T08:42:25
Plastförpackningar,16,2023-02-03T08:42:25
Ofärgade glasförpackningar,18,2023-02-03T08:42:25
Färgade glasförpackningar,19,2023-02-03T08:42:25
Städning,0,2023-02-12T13:55:25
Städning,0,2023-02-26T07:38:00
Pappersförpackningar,5,2023-03-03T12:00:02
Plastförpackningar,16,2023-03-03T12:00:02
Ofärgade glasförpackningar,18,2023-03-03T12:00:02
Färgade glasförpackningar,19,2023-03-03T12:00:02
Städning,0,2023-03-12T11:05:11
Städning,0,2023-03-26T12:54:31
Pappersförpackningar,5,2023-03-31T16:08:58
Plastförpackningar,16,2023-03-31T16:08:58
Ofärgade glasförpackningar,18,2023-03-31T16:08:58
Färgade glasförpackningar,19,2023-03-31T16:08:58
Städning,0,2023-04-09T11:24:35
Städning,0,2023-04-23T10:49:14
Pappersförpackningar,5,2023-04-28T11:50:25
Plastförpackningar,16,2023-04-28T11:50:25
Städning,0,2023-05-07T11:45:53
Städning,0,2023-05-21T12:58:29
Pappersförpackningar,5,2023-05-26T12:15:21
Plastförpackningar,16,2023-05-26T12:15:21
Ofärgade glasförpackningar,18,2023-05-26T12:15:21
Färgade glasförpackningar,19,2023-05-26T12:15:21
Städning,0,2023-06-04T11:27:44
Metallförpackningar,3,2023-06-09T08:44:43
Tidningar,13,2023-06-09T08:44:43
Städning,0,2023-06-18T10:49:00
Pappersförpackningar,5,2023-06-23T09:33:42
Plastförpackningar,16,2023-06-23T09:33:42
Ofärgade glasförpackningar,18,2023-06-23T09:33:42
Färgade glasförpackningar,19,2023-06-23T09:33:42
Städning,0,2023-07-02T12:05:16
Städning,0,2023-07-16T12:53:50
