material,materialid,maintenance
Städning,0,2022-10-31T15:27:19
Metallförpackningar,3,2022-10-25T10:14:22
Pappersförpackningar,5,2022-10-31T08:55:34
Tidningar,13,2022-11-01T07:17:02
Plastförpackningar,16,2022-10-31T14:59:33
Ofärgade glasförpackningar,18,2022-10-22T08:02:36
Färgade glasförpackningar,19,2022-10-22T08:02:36
Pappersförpackningar,5,2022-11-02T09:19:22
Pappersförpackningar,5,2022-11-04T08:35:26
Plastförpackningar,16,2022-11-04T14:07:00
Pappersförpackningar,5,2022-11-06T10:19:41
Städning,0,2022-11-07T09:06:50
Pappersförpackningar,5,2022-11-07T08:57:39
Plastförpackningar,16,2022-11-07T14:27:37
Pappersförpackningar,5,2022-11-09T09:40:50
Pappersförpackningar,5,2022-11-11T07:59:10
Plastförpackningar,16,2022-11-11T14:15:58
Pappersförpackningar,5,2022-11-13T08:36:16
Städning,0,2022-11-14T12:55:52
Pappersförpackningar,5,2022-11-14T09:07:52
Plastförpackningar,16,2022-11-14T14:53:12
Tidningar,13,2022-11-15T08:34:44
Pappersförpackningar,5,2022-11-16T08:45:28
Pappersförpackningar,5,2022-11-18T09:22:14
Plastförpackningar,16,2022-11-18T16:24:55
Ofärgade glasförpackningar,18,2022-11-19T11:52:13
Färgade glasförpackningar,19,2022-11-19T11:52:13
Pappersförpackningar,5,2022-11-20T09:27:44
Städning,0,2022-11-21T14:26:33
Pappersförpackningar,5,2022-11-21T14:19:30
Plastförpackningar,16,2022-11-21T15:43:18
Pappersförpackningar,5,2022-11-23T09:49:17
Pappersförpackningar,5,2022-11-25T07:45:01
Plastförpackningar,16,2022-11-25T18:11:45
Pappersförpackningar,5,2022-11-27T09:08:15
Städning,0,2022-11-28T13:30:16
Pappersförpackningar,5,2022-11-28T17:38:22
Plastförpackningar,16,2022-11-29T18:31:30
Städning,0,2022-12-12T14:03:36
Metallförpackningar,3,2022-12-13T12:52:19
Pappersförpackningar,5,2022-12-12T09:14:03
Tidningar,13,2022-12-13T14:40:30
Plastförpackningar,16,2022-12-12T15:30:01
Städning,0,2023-01-02T12:02:41
Pappersförpackningar,5,2023-01-02T09:03:12
Tidningar,13,2022-12-27T09:29:38
Plastförpackningar,16,2023-01-02T17:15:43
Ofärgade glasförpackningar,18,2022-12-16T11:01:55
Färgade glasförpackningar,19,2022-12-16T11:01:55
Städning,0,2023-01-09T13:17:51
Pappersförpackningar,5,2023-01-13T08:19:01
Tidningar,13,2023-01-10T15:22:32
Plastförpackningar,16,2023-01-13T15:26:27
Ofärgade glasförpackningar,18,2023-01-07T11:18:22
Färgade glasförpackningar,19,2023-01-07T11:18:22
Pappersförpackningar,5,2023-01-15T11:03:25
Städning,0,2023-01-16T14:21:41
Pappersförpackningar,5,2023-01-16T09:08:32
Plastförpackningar,16,2023-01-16T16:23:12
Pappersförpackningar,5,2023-01-18T12:18:39
Pappersförpackningar,5,2023-01-20T08:28:32
Plastförpackningar,16,2023-01-20T14:31:43
Ofärgade glasförpackningar,18,2023-01-21T09:56:11
Färgade glasförpackningar,19,2023-01-21T09:56:11
Pappersförpackningar,5,2023-01-22T07:57:18
Städning,0,2023-01-23T12:41:12
Pappersförpackningar,5,2023-01-23T08:48:57
Tidningar,13,2023-01-23T14:19:08
Plastförpackningar,16,2023-01-23T14:17:04
Pappersförpackningar,5,2023-01-25T08:59:49
Pappersförpackningar,5,2023-01-27T08:56:36
Plastförpackningar,16,2023-01-27T14:16:08
Pappersförpackningar,5,2023-01-29T10:03:21
Städning,0,2023-01-30T14:34:57
Pappersförpackningar,5,2023-01-30T09:20:49
Plastförpackningar,16,2023-01-30T16:43:22
Pappersförpackningar,5,2023-02-01T09:43:17
Pappersförpackningar,5,2023-02-03T07:20:50
Plastförpackningar,16,2023-02-03T13:11:23
Pappersförpackningar,5,2023-02-05T07:27:49
Städning,0,2023-02-06T13:15:23
Pappersförpackningar,5,2023-02-06T09:01:55
Plastförpackningar,16,2023-02-06T14:45:23
Metallförpackningar,3,2023-02-07T14:04:53
Tidningar,13,2023-02-07T13:28:47
Pappersförpackningar,5,2023-02-08T08:25:11
Pappersförpackningar,5,2023-02-10T08:35:46
Plastförpackningar,16,2023-02-10T14:01:52
Ofärgade glasförpackningar,18,2023-02-10T07:59:40
Färgade glasförpackningar,19,2023-02-10T07:59:40
Pappersförpackningar,5,2023-02-12T12:15:10
Städning,0,2023-02-13T13:50:27
Pappersförpackningar,5,2023-02-13T08:41:52
Plastförpackningar,16,2023-02-13T16:34:53
Pappersförpackningar,5,2023-02-15T09:26:05
Pappersförpackningar,5,2023-02-17T07:33:47
Plastförpackningar,16,2023-02-17T13:13:46
Pappersförpackningar,5,2023-02-19T09:30:22
Städning,0,2023-02-20T14:20:40
Pappersförpackningar,5,2023-02-20T08:44:55
Plastförpackningar,16,2023-02-20T15:01:10
Tidningar,13,2023-02-21T15:39:14
Pappersförpackningar,5,2023-02-22T08:13:51
Pappersförpackningar,5,2023-02-24T08:54:18
Plastförpackningar,16,2023-02-24T14:04:55
Pappersförpackningar,5,2023-02-26T09:34:03
Städning,0,2023-02-27T14:05:46
Pappersförpackningar,5,2023-02-27T09:41:50
Plastförpackningar,16,2023-02-27T17:17:47
Pappersförpackningar,5,2023-03-01T14:50:08
Pappersförpackningar,5,2023-03-03T08:29:25
Plastförpackningar,16,2023-03-03T14:21:45
Pappersförpackningar,5,2023-03-05T09:51:54
Städning,0,2023-03-06T14:03:08
Pappersförpackningar,5,2023-03-06T09:46:56
Plastförpackningar,16,2023-03-06T17:33:28
Tidningar,13,2023-03-07T21:03:06
Pappersförpackningar,5,2023-03-08T09:39:55
Pappersförpackningar,5,2023-03-10T07:42:32
Plastförpackningar,16,2023-03-10T12:58:11
Ofärgade glasförpackningar,18,2023-03-10T10:17:05
Färgade glasförpackningar,19,2023-03-10T10:17:05
Pappersförpackningar,5,2023-03-12T07:16:30
Städning,0,2023-03-13T14:11:05
Pappersförpackningar,5,2023-03-13T07:37:20
Plastförpackningar,16,2023-03-13T13:06:21
