material,materialid,maintenance
Städning,0,2022-11-01T07:13:30
Metallförpackningar,3,2022-10-21T07:51:13
Pappersförpackningar,5,2022-10-31T14:02:30
Tidningar,13,2022-10-25T07:43:46
Plastförpackningar,16,2022-10-31T09:32:05
Ofärgade glasförpackningar,18,2022-11-01T12:41:02
Färgade glasförpackningar,19,2022-11-01T12:41:02
Pappersförpackningar,5,2022-11-02T07:54:17
Plastförpackningar,16,2022-11-02T08:39:04
Städning,0,2022-11-03T06:55:51
Pappersförpackningar,5,2022-11-04T08:24:32
Plastförpackningar,16,2022-11-04T07:27:42
Plastförpackningar,16,2022-11-05T13:29:21
Pappersförpackningar,5,2022-11-06T10:48:18
Pappersförpackningar,5,2022-11-07T09:15:46
Tidningar,13,2022-11-07T19:51:08
Plastförpackningar,16,2022-11-07T08:45:13
Städning,0,2022-11-08T06:57:32
