material,materialid,maintenance
Städning,0,2022-10-31T11:06:27
Metallförpackningar,3,2022-10-19T07:48:16
Pappersförpackningar,5,2022-10-31T14:34:00
Tidningar,13,2022-10-20T10:09:14
Plastförpackningar,16,2022-10-27T11:59:24
Ofärgade glasförpackningar,18,2022-10-20T15:31:38
Färgade glasförpackningar,19,2022-10-20T15:31:38
Städning,0,2022-11-03T12:59:39
Plastförpackningar,16,2022-11-03T10:03:29
Ofärgade glasförpackningar,18,2022-11-03T16:31:02
Färgade glasförpackningar,19,2022-11-03T16:31:02
Pappersförpackningar,5,2022-11-04T13:49:44
Städning,0,2022-11-07T12:36:28
Pappersförpackningar,5,2022-11-07T14:19:40
Städning,0,2022-11-10T13:50:35
Plastförpackningar,16,2022-11-10T10:36:43
Pappersförpackningar,5,2022-11-11T15:46:20
Städning,0,2022-11-14T11:42:33
Pappersförpackningar,5,2022-11-14T13:54:08
Metallförpackningar,3,2022-11-16T07:27:57
Tidningar,13,2022-11-16T10:09:34
Städning,0,2022-11-17T13:30:21
Plastförpackningar,16,2022-11-17T10:44:09
Ofärgade glasförpackningar,18,2022-11-17T06:56:59
Färgade glasförpackningar,19,2022-11-17T06:56:59
Pappersförpackningar,5,2022-11-18T15:21:33
Städning,0,2022-11-21T09:12:12
Pappersförpackningar,5,2022-11-21T11:43:03
Städning,0,2022-11-24T12:38:43
Plastförpackningar,16,2022-11-24T10:43:47
Pappersförpackningar,5,2022-11-25T14:47:52
Städning,0,2022-11-28T09:31:04
Pappersförpackningar,5,2022-11-28T14:16:59
Städning,0,2022-12-12T12:03:40
Pappersförpackningar,5,2022-12-12T17:26:35
Tidningar,13,2022-12-02T13:14:29
Plastförpackningar,16,2022-12-08T14:12:44
Ofärgade glasförpackningar,18,2022-12-01T14:57:18
Färgade glasförpackningar,19,2022-12-01T14:57:18
Städning,0,2023-01-02T10:58:40
Metallförpackningar,3,2022-12-14T08:03:52
Pappersförpackningar,5,2023-01-02T14:25:46
Tidningar,13,2022-12-27T10:33:33
Plastförpackningar,16,2022-12-29T09:29:00
Ofärgade glasförpackningar,18,2022-12-29T19:22:19
Färgade glasförpackningar,19,2022-12-29T19:22:19
Städning,0,2023-01-12T13:19:49
Metallförpackningar,3,2023-01-09T10:21:45
Pappersförpackningar,5,2023-01-13T14:01:02
Tidningar,13,2023-01-13T12:24:26
Plastförpackningar,16,2023-01-12T12:24:52
Ofärgade glasförpackningar,18,2023-01-12T15:31:45
Färgade glasförpackningar,19,2023-01-12T15:31:45
Städning,0,2023-01-16T14:06:11
Pappersförpackningar,5,2023-01-16T14:12:01
Städning,0,2023-01-19T13:41:07
Plastförpackningar,16,2023-01-19T10:39:01
Pappersförpackningar,5,2023-01-20T12:56:17
Städning,0,2023-01-23T11:26:27
Pappersförpackningar,5,2023-01-23T14:41:30
Städning,0,2023-01-26T12:19:48
Plastförpackningar,16,2023-01-26T11:06:43
Ofärgade glasförpackningar,18,2023-01-26T16:18:28
Färgade glasförpackningar,19,2023-01-26T16:18:28
Pappersförpackningar,5,2023-01-27T12:32:17
Städning,0,2023-01-30T10:32:28
Pappersförpackningar,5,2023-01-30T14:18:37
Städning,0,2023-02-02T13:31:33
Plastförpackningar,16,2023-02-02T12:06:57
Pappersförpackningar,5,2023-02-03T10:23:52
Städning,0,2023-02-06T11:12:56
Metallförpackningar,3,2023-02-06T09:28:03
Pappersförpackningar,5,2023-02-06T14:08:46
Tidningar,13,2023-02-07T14:17:32
Städning,0,2023-02-09T12:48:41
Pappersförpackningar,5,2023-02-09T13:57:34
Plastförpackningar,16,2023-02-10T10:30:55
Ofärgade glasförpackningar,18,2023-02-09T14:37:38
Färgade glasförpackningar,19,2023-02-09T14:37:38
Städning,0,2023-02-13T09:47:05
Pappersförpackningar,5,2023-02-13T13:48:56
Städning,0,2023-02-16T08:03:39
Plastförpackningar,16,2023-02-16T10:36:03
Städning,0,2023-02-17T08:24:43
Pappersförpackningar,5,2023-02-17T13:09:17
Pappersförpackningar,5,2023-02-20T13:47:12
