material,materialid,maintenance
Städning,0,2022-10-28T09:51:18
Metallförpackningar,3,2022-09-15T13:43:29
Pappersförpackningar,5,2022-10-26T13:43:30
Tidningar,13,2022-01-05T08:09:46
Plastförpackningar,16,2022-10-20T11:38:27
Ofärgade glasförpackningar,18,2022-08-17T16:32:01
Färgade glasförpackningar,19,2022-08-17T16:32:01
Plastförpackningar,16,2022-11-03T11:40:26
Städning,0,2022-11-04T08:15:25
Pappersförpackningar,5,2022-11-09T14:00:28
Städning,0,2022-11-11T15:30:42
Plastförpackningar,16,2022-11-17T12:32:04
Städning,0,2022-11-18T08:18:30
Pappersförpackningar,5,2022-11-23T13:51:52
Metallförpackningar,3,2022-11-24T14:37:25
