material,materialid,maintenance
Städning,0,2022-11-01T11:51:17
Metallförpackningar,3,2022-10-19T09:36:43
Pappersförpackningar,5,2022-10-28T10:49:17
Tidningar,13,2022-10-25T16:35:13
Plastförpackningar,16,2022-10-26T19:16:55
Ofärgade glasförpackningar,18,2022-11-01T07:46:16
Färgade glasförpackningar,19,2022-11-01T07:46:16
Pappersförpackningar,5,2022-11-01T20:33:22
Plastförpackningar,16,2022-11-02T21:33:28
Städning,0,2022-11-04T08:43:17
Pappersförpackningar,5,2022-11-04T13:53:14
Städning,0,2022-11-08T09:58:02
Pappersförpackningar,5,2022-11-08T22:13:39
Tidningar,13,2022-11-08T16:36:59
Pappersförpackningar,5,2022-11-09T20:07:33
Plastförpackningar,16,2022-11-09T19:51:03
Städning,0,2022-11-11T08:40:02
Pappersförpackningar,5,2022-11-11T14:54:25
