material,materialid,maintenance
Städning,0,2022-10-31T06:51:21
Metallförpackningar,3,2022-10-06T12:43:27
Pappersförpackningar,5,2022-10-31T14:20:52
Tidningar,13,2022-09-07T15:30:49
Plastförpackningar,16,2022-10-27T17:07:14
Ofärgade glasförpackningar,18,2022-10-03T14:43:48
Färgade glasförpackningar,19,2022-10-03T14:43:48
Städning,0,2022-11-02T06:03:49
Pappersförpackningar,5,2022-11-02T10:32:32
Städning,0,2022-11-03T06:27:12
Metallförpackningar,3,2022-11-03T21:40:17
Plastförpackningar,16,2022-11-03T19:20:38
Städning,0,2022-11-04T06:21:32
Pappersförpackningar,5,2022-11-04T16:33:53
Ofärgade glasförpackningar,18,2022-11-04T14:26:54
Färgade glasförpackningar,19,2022-11-04T14:26:54
Städning,0,2022-11-06T07:29:58
Pappersförpackningar,5,2022-11-06T14:31:03
Städning,0,2022-11-07T06:44:52
Pappersförpackningar,5,2022-11-07T16:13:46
Städning,0,2022-11-09T06:05:36
Pappersförpackningar,5,2022-11-09T15:25:06
Städning,0,2022-11-10T06:29:11
Plastförpackningar,16,2022-11-10T16:33:17
Städning,0,2022-11-11T06:18:34
Pappersförpackningar,5,2022-11-11T16:29:43
Städning,0,2022-11-13T07:17:01
Pappersförpackningar,5,2022-11-13T17:00:35
Städning,0,2022-11-14T06:36:14
Pappersförpackningar,5,2022-11-14T16:56:16
Tidningar,13,2022-11-14T12:59:37
Städning,0,2022-11-16T06:08:03
Pappersförpackningar,5,2022-11-16T21:49:21
Städning,0,2022-11-17T06:25:07
Plastförpackningar,16,2022-11-17T16:19:28
Städning,0,2022-11-18T06:26:02
Pappersförpackningar,5,2022-11-18T20:42:51
Städning,0,2022-11-20T07:33:19
Pappersförpackningar,5,2022-11-20T14:31:30
Städning,0,2022-11-21T06:31:15
Pappersförpackningar,5,2022-11-21T13:41:19
Städning,0,2022-11-23T06:16:19
Pappersförpackningar,5,2022-11-23T20:05:18
Städning,0,2022-11-24T06:23:58
Plastförpackningar,16,2022-11-24T17:57:47
Städning,0,2022-11-25T06:19:08
Pappersförpackningar,5,2022-11-25T16:43:17
Städning,0,2022-11-27T12:52:39
Pappersförpackningar,5,2022-11-27T13:37:05
Städning,0,2022-11-28T06:52:46
Pappersförpackningar,5,2022-11-28T17:54:19
Ofärgade glasförpackningar,18,2022-11-28T13:44:23
Färgade glasförpackningar,19,2022-11-28T13:44:23
Städning,0,2022-12-12T06:44:41
Pappersförpackningar,5,2022-12-12T19:14:20
Plastförpackningar,16,2022-12-01T17:27:09
Städning,0,2023-01-02T06:41:16
Metallförpackningar,3,2022-12-29T21:23:40
Pappersförpackningar,5,2023-01-02T10:24:04
Tidningar,13,2022-12-26T16:52:52
Plastförpackningar,16,2022-12-29T15:00:17
Ofärgade glasförpackningar,18,2022-12-30T14:14:39
Färgade glasförpackningar,19,2022-12-30T14:14:39
Städning,0,2023-01-13T06:19:42
Pappersförpackningar,5,2023-01-13T17:09:16
Plastförpackningar,16,2023-01-12T10:24:53
Städning,0,2023-01-15T05:17:00
Pappersförpackningar,5,2023-01-15T19:20:07
Städning,0,2023-01-16T07:00:35
Pappersförpackningar,5,2023-01-16T10:08:05
Städning,0,2023-01-18T06:05:00
Pappersförpackningar,5,2023-01-18T20:17:08
Städning,0,2023-01-19T06:38:07
Plastförpackningar,16,2023-01-19T15:08:16
Städning,0,2023-01-20T06:32:30
Pappersförpackningar,5,2023-01-20T14:45:07
Städning,0,2023-01-22T17:12:45
Pappersförpackningar,5,2023-01-22T08:49:13
Städning,0,2023-01-23T06:47:39
Pappersförpackningar,5,2023-01-23T10:33:09
Städning,0,2023-01-25T06:10:20
Pappersförpackningar,5,2023-01-25T09:37:36
Städning,0,2023-01-26T06:37:16
Metallförpackningar,3,2023-01-26T15:57:26
Plastförpackningar,16,2023-01-26T09:22:39
Städning,0,2023-01-27T06:20:09
Pappersförpackningar,5,2023-01-27T14:10:56
Städning,0,2023-01-29T05:42:01
Pappersförpackningar,5,2023-01-29T18:17:35
