material,materialid,maintenance
Städning,0,2022-10-31T11:41:19
Pappersförpackningar,5,2022-10-25T08:43:57
Plastförpackningar,16,2022-10-21T11:11:14
Ofärgade glasförpackningar,18,2022-09-21T14:00:35
Färgade glasförpackningar,19,2022-09-21T14:00:35
Städning,0,2022-11-02T08:05:07
Metallförpackningar,3,2022-11-02T08:58:13
Städning,0,2022-11-04T11:13:46
Plastförpackningar,16,2022-11-04T11:33:18
Städning,0,2022-11-07T12:09:40
Pappersförpackningar,5,2022-11-08T09:06:10
Städning,0,2022-11-09T09:45:46
Städning,0,2022-11-11T10:10:37
Städning,0,2022-11-14T11:48:15
Städning,0,2022-11-16T13:05:20
Städning,0,2022-11-18T10:28:34
Plastförpackningar,16,2022-11-18T10:11:36
Städning,0,2022-11-21T11:48:43
Städning,0,2022-11-23T07:32:12
Pappersförpackningar,5,2022-11-22T08:38:39
Städning,0,2022-11-25T10:15:02
Städning,0,2022-11-28T11:17:39
Städning,0,2022-12-12T11:49:31
Pappersförpackningar,5,2022-12-06T08:03:45
Plastförpackningar,16,2022-12-02T12:15:28
Städning,0,2023-01-02T07:57:43
Pappersförpackningar,5,2022-12-29T09:26:49
Plastförpackningar,16,2022-12-28T10:03:00
Städning,0,2023-01-13T11:11:47
Pappersförpackningar,5,2023-01-05T09:18:16
Plastförpackningar,16,2023-01-13T09:16:43
Städning,0,2023-01-16T11:37:54
Pappersförpackningar,5,2023-01-17T08:25:22
Städning,0,2023-01-18T11:49:20
Städning,0,2023-01-20T11:24:51
Ofärgade glasförpackningar,18,2023-01-20T09:30:06
Färgade glasförpackningar,19,2023-01-20T09:30:06
Städning,0,2023-01-23T11:29:27
Städning,0,2023-01-25T09:43:45
Städning,0,2023-01-27T11:01:20
Plastförpackningar,16,2023-01-27T10:40:16
Städning,0,2023-01-30T11:31:35
Pappersförpackningar,5,2023-01-31T08:24:16
Städning,0,2023-02-01T11:54:23
Städning,0,2023-02-03T10:34:04
Städning,0,2023-02-06T11:44:03
Städning,0,2023-02-08T08:03:33
Städning,0,2023-02-10T11:08:52
Plastförpackningar,16,2023-02-10T09:10:24
Städning,0,2023-02-13T13:53:18
Pappersförpackningar,5,2023-02-14T08:34:02
Städning,0,2023-02-15T08:05:16
Städning,0,2023-02-17T11:59:59
Städning,0,2023-02-20T10:47:49
Städning,0,2023-02-22T08:06:37
Städning,0,2023-02-24T11:15:47
Plastförpackningar,16,2023-02-24T10:25:30
Städning,0,2023-02-27T11:11:32
Pappersförpackningar,5,2023-02-28T08:30:59
Städning,0,2023-03-01T08:19:27
Städning,0,2023-03-03T10:45:00
Städning,0,2023-03-06T11:25:59
Städning,0,2023-03-08T08:20:51
Städning,0,2023-03-10T10:25:47
Plastförpackningar,16,2023-03-10T09:24:20
Pappersförpackningar,5,2023-03-14T08:37:49
Städning,0,2023-03-15T07:58:57
Städning,0,2023-03-17T10:19:05
Städning,0,2023-03-20T11:25:28
Städning,0,2023-03-22T07:56:32
Städning,0,2023-03-24T10:42:19
Plastförpackningar,16,2023-03-24T10:25:00
Städning,0,2023-03-27T10:58:54
Pappersförpackningar,5,2023-03-28T08:35:30
Städning,0,2023-03-29T07:55:21
Städning,0,2023-03-31T11:07:11
Städning,0,2023-04-03T11:57:11
Städning,0,2023-04-05T07:55:31
Städning,0,2023-04-07T11:28:29
Plastförpackningar,16,2023-04-07T10:16:05
Städning,0,2023-04-10T12:18:26
Pappersförpackningar,5,2023-04-11T08:38:40
Städning,0,2023-04-12T08:39:37
Städning,0,2023-04-14T11:04:53
Städning,0,2023-04-17T11:58:00
Städning,0,2023-04-19T10:06:51
Städning,0,2023-04-21T11:17:42
Plastförpackningar,16,2023-04-21T12:22:26
Städning,0,2023-04-24T11:22:51
Pappersförpackningar,5,2023-04-25T08:38:43
Städning,0,2023-04-26T14:02:48
Städning,0,2023-04-28T10:53:57
Städning,0,2023-05-01T09:23:52
Städning,0,2023-05-03T08:07:53
Städning,0,2023-05-05T10:53:52
Plastförpackningar,16,2023-05-05T09:48:59
Städning,0,2023-05-08T11:31:20
Pappersförpackningar,5,2023-05-09T08:39:56
Städning,0,2023-05-10T14:20:37
Städning,0,2023-05-12T11:25:27
Städning,0,2023-05-17T14:36:26
Städning,0,2023-05-19T11:26:15
Plastförpackningar,16,2023-05-19T10:09:07
Städning,0,2023-05-22T11:58:08
Pappersförpackningar,5,2023-05-23T08:14:07
Städning,0,2023-05-24T14:49:58
Städning,0,2023-05-26T11:24:46
Städning,0,2023-05-29T11:58:15
Städning,0,2023-05-31T15:21:00
Metallförpackningar,3,2023-05-31T08:39:48
Städning,0,2023-06-02T11:21:55
Plastförpackningar,16,2023-06-02T10:31:06
Ofärgade glasförpackningar,18,2023-06-02T12:21:24
Färgade glasförpackningar,19,2023-06-02T12:21:24
Städning,0,2023-06-05T12:11:41
Pappersförpackningar,5,2023-06-06T08:04:22
Städning,0,2023-06-07T08:22:33
Städning,0,2023-06-09T09:18:19
Städning,0,2023-06-12T11:48:09
Städning,0,2023-06-14T10:03:28
Städning,0,2023-06-16T11:02:44
Plastförpackningar,16,2023-06-16T11:35:58
Städning,0,2023-06-19T10:57:56
Pappersförpackningar,5,2023-06-20T08:29:40
Städning,0,2023-06-21T11:26:38
Städning,0,2023-06-23T11:49:56
Städning,0,2023-06-26T12:03:52
