material,materialid,maintenance
Städning,0,2022-10-29T07:01:44
Metallförpackningar,3,2022-10-05T17:24:34
Pappersförpackningar,5,2022-10-31T12:07:20
Tidningar,13,2022-08-23T06:59:02
Plastförpackningar,16,2022-11-01T12:47:42
Ofärgade glasförpackningar,18,2022-09-14T12:37:41
Färgade glasförpackningar,19,2022-09-14T12:37:41
Städning,0,2022-11-02T15:01:55
Pappersförpackningar,5,2022-11-03T09:38:59
Städning,0,2022-11-05T07:04:26
Pappersförpackningar,5,2022-11-07T11:59:12
Plastförpackningar,16,2022-11-08T11:40:41
Städning,0,2022-11-09T15:35:40
Pappersförpackningar,5,2022-11-10T12:53:37
Ofärgade glasförpackningar,18,2022-11-10T20:04:35
Färgade glasförpackningar,19,2022-11-10T20:04:35
Städning,0,2022-11-12T07:28:56
Pappersförpackningar,5,2022-11-14T11:58:53
Plastförpackningar,16,2022-11-15T12:25:19
Städning,0,2022-11-16T14:48:29
Pappersförpackningar,5,2022-11-17T10:50:12
Pappersförpackningar,5,2022-11-21T13:26:16
Städning,0,2022-11-23T15:55:03
Plastförpackningar,16,2022-11-22T12:37:39
Pappersförpackningar,5,2022-11-24T12:34:08
Städning,0,2022-11-26T07:31:55
Pappersförpackningar,5,2022-11-28T12:17:44
Plastförpackningar,16,2022-11-29T12:47:09
Städning,0,2022-12-10T07:50:01
Pappersförpackningar,5,2022-12-12T12:45:45
Plastförpackningar,16,2022-12-13T12:28:30
Städning,0,2022-12-31T07:14:01
Pappersförpackningar,5,2023-01-02T12:15:08
Plastförpackningar,16,2023-01-03T11:32:49
Ofärgade glasförpackningar,18,2022-12-16T10:53:41
Färgade glasförpackningar,19,2022-12-16T10:53:41
Städning,0,2023-01-14T10:40:10
Pappersförpackningar,5,2023-01-12T11:11:25
Plastförpackningar,16,2023-01-10T12:07:49
Pappersförpackningar,5,2023-01-16T11:42:45
Plastförpackningar,16,2023-01-17T11:12:24
Städning,0,2023-01-18T14:39:30
Metallförpackningar,3,2023-01-18T17:30:14
Pappersförpackningar,5,2023-01-19T12:29:08
Städning,0,2023-01-21T07:58:34
Pappersförpackningar,5,2023-01-23T11:48:03
Plastförpackningar,16,2023-01-24T11:54:32
Ofärgade glasförpackningar,18,2023-01-24T13:56:26
Färgade glasförpackningar,19,2023-01-24T13:56:26
Städning,0,2023-01-25T14:39:40
Pappersförpackningar,5,2023-01-26T09:58:28
Städning,0,2023-01-28T13:57:05
Pappersförpackningar,5,2023-01-30T12:29:20
Plastförpackningar,16,2023-01-31T11:58:12
Städning,0,2023-02-01T14:31:53
Pappersförpackningar,5,2023-02-02T14:07:50
Städning,0,2023-02-04T12:55:22
Pappersförpackningar,5,2023-02-06T12:21:06
Plastförpackningar,16,2023-02-07T12:32:03
Städning,0,2023-02-08T13:36:15
Pappersförpackningar,5,2023-02-09T10:50:19
Städning,0,2023-02-11T12:56:18
Pappersförpackningar,5,2023-02-13T12:44:28
Plastförpackningar,16,2023-02-14T11:55:12
Städning,0,2023-02-15T13:08:55
Pappersförpackningar,5,2023-02-16T12:55:09
Städning,0,2023-02-18T14:07:00
Pappersförpackningar,5,2023-02-20T12:27:18
Plastförpackningar,16,2023-02-21T12:31:50
Städning,0,2023-02-22T13:28:36
Metallförpackningar,3,2023-02-22T16:26:27
Pappersförpackningar,5,2023-02-23T10:27:48
Städning,0,2023-02-25T14:05:32
Pappersförpackningar,5,2023-02-27T12:01:03
Plastförpackningar,16,2023-02-28T11:43:45
Städning,0,2023-03-01T13:56:12
Pappersförpackningar,5,2023-03-02T12:56:10
Städning,0,2023-03-04T13:21:07
Pappersförpackningar,5,2023-03-06T12:37:00
Plastförpackningar,16,2023-03-07T12:36:16
Städning,0,2023-03-08T14:44:01
Pappersförpackningar,5,2023-03-09T10:45:06
Städning,0,2023-03-11T11:15:52
Pappersförpackningar,5,2023-03-13T12:11:25
Plastförpackningar,16,2023-03-14T11:48:46
Städning,0,2023-03-15T13:43:52
Pappersförpackningar,5,2023-03-16T12:41:58
Städning,0,2023-03-18T13:44:21
Pappersförpackningar,5,2023-03-20T12:17:11
Plastförpackningar,16,2023-03-21T12:42:29
Ofärgade glasförpackningar,18,2023-03-21T11:27:48
Färgade glasförpackningar,19,2023-03-21T11:27:48
Städning,0,2023-03-22T11:35:49
Pappersförpackningar,5,2023-03-23T10:59:48
Städning,0,2023-03-25T06:41:18
Pappersförpackningar,5,2023-03-27T12:13:41
Plastförpackningar,16,2023-03-28T11:45:45
Städning,0,2023-03-29T13:46:24
Pappersförpackningar,5,2023-03-30T12:44:13
Städning,0,2023-04-01T10:31:13
Pappersförpackningar,5,2023-04-03T12:26:58
Plastförpackningar,16,2023-04-04T12:41:55
Städning,0,2023-04-05T14:36:34
Pappersförpackningar,5,2023-04-06T10:53:52
Pappersförpackningar,5,2023-04-10T12:12:02
Plastförpackningar,16,2023-04-11T11:46:29
Städning,0,2023-04-12T20:58:22
Pappersförpackningar,5,2023-04-13T13:00:16
Städning,0,2023-04-15T10:33:31
Pappersförpackningar,5,2023-04-17T12:13:52
Plastförpackningar,16,2023-04-18T12:58:47
Städning,0,2023-04-19T13:26:39
Metallförpackningar,3,2023-04-19T16:27:30
Pappersförpackningar,5,2023-04-20T10:51:13
Städning,0,2023-04-22T10:45:49
Pappersförpackningar,5,2023-04-24T12:41:58
Plastförpackningar,16,2023-04-25T12:00:40
Städning,0,2023-04-26T11:39:36
Pappersförpackningar,5,2023-04-27T12:57:11
Städning,0,2023-04-29T10:37:25
Pappersförpackningar,5,2023-05-01T12:17:25
