material,materialid,maintenance
Städning,0,2022-11-01T10:03:03
Metallförpackningar,3,2022-10-10T10:58:15
Pappersförpackningar,5,2022-10-31T10:16:48
Tidningar,13,2022-10-06T13:38:54
Plastförpackningar,16,2022-10-31T10:16:48
Ofärgade glasförpackningar,18,2022-10-06T13:38:54
Färgade glasförpackningar,19,2022-10-06T13:38:54
Pappersförpackningar,5,2022-11-02T09:09:34
Plastförpackningar,16,2022-11-02T09:09:34
Städning,0,2022-11-03T08:14:30
Pappersförpackningar,5,2022-11-04T10:06:02
Tidningar,13,2022-11-04T15:58:24
Ofärgade glasförpackningar,18,2022-11-04T15:58:24
Färgade glasförpackningar,19,2022-11-04T15:58:24
Pappersförpackningar,5,2022-11-06T18:37:46
Metallförpackningar,3,2022-11-07T13:08:37
Pappersförpackningar,5,2022-11-07T10:21:05
Plastförpackningar,16,2022-11-07T10:21:05
