material,materialid,maintenance
Metallförpackningar,3,2022-10-24T09:32:58
Pappersförpackningar,5,2022-10-24T09:32:58
Plastförpackningar,16,2022-10-24T09:32:58
Metallförpackningar,3,2022-11-02T15:01:33
Pappersförpackningar,5,2022-11-02T15:01:33
Plastförpackningar,16,2022-11-02T15:01:33
Metallförpackningar,3,2022-11-08T16:52:37
Pappersförpackningar,5,2022-11-08T16:52:37
Plastförpackningar,16,2022-11-08T16:52:37
Metallförpackningar,3,2022-11-14T16:45:02
Pappersförpackningar,5,2022-11-14T16:45:02
Plastförpackningar,16,2022-11-14T16:45:02
Metallförpackningar,3,2022-11-21T17:13:39
Pappersförpackningar,5,2022-11-21T17:13:39
Plastförpackningar,16,2022-11-21T17:13:39
Metallförpackningar,3,2022-11-25T15:59:59
Pappersförpackningar,5,2022-11-25T15:59:59
Plastförpackningar,16,2022-11-25T15:59:59
