material,materialid,maintenance
Städning,0,2022-10-26T11:36:16
Metallförpackningar,3,2022-09-27T16:56:56
Pappersförpackningar,5,2022-11-01T11:36:40
Tidningar,13,2022-10-19T15:51:56
Plastförpackningar,16,2022-11-01T10:00:44
Ofärgade glasförpackningar,18,2022-09-16T11:14:15
Färgade glasförpackningar,19,2022-09-16T11:14:15
Städning,0,2022-11-02T11:20:10
Pappersförpackningar,5,2022-11-05T11:56:43
Pappersförpackningar,5,2022-11-08T07:03:34
Plastförpackningar,16,2022-11-08T10:18:03
Städning,0,2022-11-09T11:40:33
Metallförpackningar,3,2022-11-11T11:20:47
Pappersförpackningar,5,2022-11-12T14:11:13
Pappersförpackningar,5,2022-11-15T12:57:33
Plastförpackningar,16,2022-11-15T10:24:09
Städning,0,2022-11-16T11:56:01
Tidningar,13,2022-11-16T15:43:26
Pappersförpackningar,5,2022-11-19T12:21:13
Städning,0,2022-11-23T11:46:05
Pappersförpackningar,5,2022-11-22T18:27:03
Plastförpackningar,16,2022-11-22T10:44:51
Pappersförpackningar,5,2022-11-26T08:46:42
Ofärgade glasförpackningar,18,2022-11-27T13:00:18
Färgade glasförpackningar,19,2022-11-27T13:00:18
Pappersförpackningar,5,2022-11-29T13:21:32
Plastförpackningar,16,2022-11-29T17:16:30
Städning,0,2022-12-07T11:36:43
Pappersförpackningar,5,2022-12-13T11:22:25
Tidningar,13,2022-12-13T17:15:23
Plastförpackningar,16,2022-12-13T10:06:58
Städning,0,2022-12-28T11:41:08
Metallförpackningar,3,2022-12-20T12:47:12
Pappersförpackningar,5,2023-01-03T12:33:23
Plastförpackningar,16,2022-12-30T17:29:00
Städning,0,2023-01-11T11:18:57
Pappersförpackningar,5,2023-01-14T08:32:09
Tidningar,13,2023-01-11T16:55:15
Plastförpackningar,16,2023-01-10T09:52:22
Pappersförpackningar,5,2023-01-17T12:46:44
Plastförpackningar,16,2023-01-17T10:09:58
Städning,0,2023-01-18T11:22:47
Pappersförpackningar,5,2023-01-21T08:47:41
Plastförpackningar,16,2023-01-24T07:10:58
Städning,0,2023-01-25T12:20:51
Pappersförpackningar,5,2023-01-24T13:47:49
Pappersförpackningar,5,2023-01-28T10:04:04
Pappersförpackningar,5,2023-01-31T13:11:48
Plastförpackningar,16,2023-01-31T10:10:57
Städning,0,2023-02-01T11:05:10
Metallförpackningar,3,2023-02-01T18:18:27
Pappersförpackningar,5,2023-02-04T08:45:14
Ofärgade glasförpackningar,18,2023-02-05T12:19:07
Färgade glasförpackningar,19,2023-02-05T12:19:07
Pappersförpackningar,5,2023-02-07T13:18:48
Plastförpackningar,16,2023-02-07T10:05:38
Städning,0,2023-02-08T12:48:12
Tidningar,13,2023-02-08T19:51:01
Pappersförpackningar,5,2023-02-11T13:21:39
Plastförpackningar,16,2023-02-14T10:08:55
Städning,0,2023-02-15T10:34:08
Pappersförpackningar,5,2023-02-18T09:25:01
Pappersförpackningar,5,2023-02-21T13:06:57
Plastförpackningar,16,2023-02-21T10:07:47
Städning,0,2023-02-22T10:42:19
Pappersförpackningar,5,2023-02-25T07:57:42
Pappersförpackningar,5,2023-02-28T12:35:46
Plastförpackningar,16,2023-02-28T10:05:38
Städning,0,2023-03-01T12:03:40
Pappersförpackningar,5,2023-03-04T08:11:33
Plastförpackningar,16,2023-03-07T07:37:41
Städning,0,2023-03-08T11:37:40
Tidningar,13,2023-03-08T14:01:18
Pappersförpackningar,5,2023-03-11T08:28:04
Metallförpackningar,3,2023-03-14T17:57:59
Pappersförpackningar,5,2023-03-14T13:29:02
Plastförpackningar,16,2023-03-14T20:57:56
Städning,0,2023-03-15T10:56:07
Pappersförpackningar,5,2023-03-18T08:39:56
Pappersförpackningar,5,2023-03-21T12:04:16
Plastförpackningar,16,2023-03-21T10:06:17
Städning,0,2023-03-22T11:20:03
Pappersförpackningar,5,2023-03-25T09:36:38
Pappersförpackningar,5,2023-03-28T12:51:40
Plastförpackningar,16,2023-03-28T10:57:42
Städning,0,2023-03-29T11:26:43
Pappersförpackningar,5,2023-04-01T07:36:55
Ofärgade glasförpackningar,18,2023-04-02T17:25:12
Färgade glasförpackningar,19,2023-04-02T17:25:12
Pappersförpackningar,5,2023-04-04T12:18:40
Plastförpackningar,16,2023-04-04T15:02:09
Städning,0,2023-04-05T11:19:53
Pappersförpackningar,5,2023-04-08T09:20:21
Pappersförpackningar,5,2023-04-11T12:07:40
Plastförpackningar,16,2023-04-11T18:04:47
Städning,0,2023-04-12T10:57:03
Pappersförpackningar,5,2023-04-15T09:17:27
Pappersförpackningar,5,2023-04-18T13:07:08
Plastförpackningar,16,2023-04-18T17:21:17
Städning,0,2023-04-19T10:39:07
Pappersförpackningar,5,2023-04-22T08:47:12
Pappersförpackningar,5,2023-04-25T12:21:56
Plastförpackningar,16,2023-04-25T17:41:11
Städning,0,2023-04-26T10:40:07
Pappersförpackningar,5,2023-04-29T08:57:54
Metallförpackningar,3,2023-05-02T13:12:25
Pappersförpackningar,5,2023-05-02T12:25:06
Plastförpackningar,16,2023-05-02T19:46:03
Städning,0,2023-05-03T11:32:04
Tidningar,13,2023-05-03T12:14:44
Pappersförpackningar,5,2023-05-06T13:28:11
Pappersförpackningar,5,2023-05-09T12:59:13
Plastförpackningar,16,2023-05-09T18:23:30
Städning,0,2023-05-10T11:17:39
Pappersförpackningar,5,2023-05-13T08:42:44
Städning,0,2023-05-17T11:01:57
Pappersförpackningar,5,2023-05-16T10:31:51
Plastförpackningar,16,2023-05-16T18:54:06
Pappersförpackningar,5,2023-05-20T10:13:05
Ofärgade glasförpackningar,18,2023-05-22T18:02:14
Färgade glasförpackningar,19,2023-05-22T18:02:14
Pappersförpackningar,5,2023-05-23T11:19:34
Plastförpackningar,16,2023-05-23T18:03:40
Städning,0,2023-05-24T10:34:11
Pappersförpackningar,5,2023-05-27T11:07:33
Pappersförpackningar,5,2023-05-30T10:24:42
