material,materialid,maintenance
Metallförpackningar,3,2022-08-11T14:57:04
Pappersförpackningar,5,2022-11-01T13:40:43
Tidningar,13,2022-07-27T14:13:09
Plastförpackningar,16,2022-11-01T14:55:35
Ofärgade glasförpackningar,18,2022-09-27T10:58:38
Färgade glasförpackningar,19,2022-09-27T10:58:38
Pappersförpackningar,5,2022-11-08T13:29:24
Plastförpackningar,16,2022-11-08T12:13:25
Pappersförpackningar,5,2022-11-15T12:40:49
Plastförpackningar,16,2022-11-15T12:47:55
Pappersförpackningar,5,2022-11-22T13:19:18
Plastförpackningar,16,2022-11-22T08:21:10
Pappersförpackningar,5,2022-11-29T14:09:10
Plastförpackningar,16,2022-11-29T10:26:00
Pappersförpackningar,5,2022-12-13T13:47:31
Plastförpackningar,16,2022-12-13T11:41:06
Metallförpackningar,3,2022-12-15T10:34:44
Pappersförpackningar,5,2023-01-03T14:07:18
Plastförpackningar,16,2023-01-03T10:04:44
Pappersförpackningar,5,2023-01-10T13:59:46
Plastförpackningar,16,2023-01-10T12:18:16
Pappersförpackningar,5,2023-01-17T11:26:22
Plastförpackningar,16,2023-01-17T10:15:33
Pappersförpackningar,5,2023-01-24T13:55:49
Plastförpackningar,16,2023-01-24T11:50:12
Pappersförpackningar,5,2023-01-31T14:33:19
Plastförpackningar,16,2023-01-31T12:35:20
Pappersförpackningar,5,2023-02-07T14:03:28
Plastförpackningar,16,2023-02-07T13:05:15
Pappersförpackningar,5,2023-02-14T13:19:23
Plastförpackningar,16,2023-02-14T11:28:55
Pappersförpackningar,5,2023-02-21T14:48:20
Plastförpackningar,16,2023-02-21T10:04:38
Pappersförpackningar,5,2023-02-28T12:26:38
Plastförpackningar,16,2023-02-28T10:05:00
Pappersförpackningar,5,2023-03-07T14:43:46
Plastförpackningar,16,2023-03-07T12:09:18
Pappersförpackningar,5,2023-03-14T14:22:06
Plastförpackningar,16,2023-03-14T10:22:54
Pappersförpackningar,5,2023-03-21T13:42:02
Plastförpackningar,16,2023-03-21T10:41:14
Pappersförpackningar,5,2023-03-28T13:56:49
Plastförpackningar,16,2023-03-28T09:32:45
Pappersförpackningar,5,2023-04-04T13:50:29
Plastförpackningar,16,2023-04-04T13:16:01
Metallförpackningar,3,2023-04-06T10:51:59
Pappersförpackningar,5,2023-04-11T14:19:44
Plastförpackningar,16,2023-04-11T10:09:12
Pappersförpackningar,5,2023-04-18T13:29:34
Plastförpackningar,16,2023-04-18T10:33:31
Pappersförpackningar,5,2023-04-25T13:41:55
Plastförpackningar,16,2023-04-25T10:41:51
Pappersförpackningar,5,2023-05-02T13:50:49
Plastförpackningar,16,2023-05-02T11:54:39
Pappersförpackningar,5,2023-05-09T13:22:35
Plastförpackningar,16,2023-05-09T11:36:00
Pappersförpackningar,5,2023-05-16T13:24:26
Plastförpackningar,16,2023-05-16T09:54:34
Pappersförpackningar,5,2023-05-23T13:20:21
Plastförpackningar,16,2023-05-23T09:29:13
Pappersförpackningar,5,2023-05-30T13:25:48
Plastförpackningar,16,2023-05-30T13:29:13
Pappersförpackningar,5,2023-06-06T10:35:17
Plastförpackningar,16,2023-06-06T10:02:54
Pappersförpackningar,5,2023-06-13T13:57:37
Plastförpackningar,16,2023-06-13T14:52:25
Pappersförpackningar,5,2023-06-20T13:38:11
Plastförpackningar,16,2023-06-20T10:26:46
Pappersförpackningar,5,2023-06-27T14:40:20
Plastförpackningar,16,2023-06-27T11:12:16
Tidningar,13,2023-06-29T10:15:25
Pappersförpackningar,5,2023-07-04T12:44:21
Plastförpackningar,16,2023-07-04T09:44:49
Pappersförpackningar,5,2023-07-11T13:04:44
Plastförpackningar,16,2023-07-11T12:38:52
Pappersförpackningar,5,2023-07-18T13:38:53
Plastförpackningar,16,2023-07-18T09:15:02
Pappersförpackningar,5,2023-07-25T14:04:58
Plastförpackningar,16,2023-07-25T10:55:28
Metallförpackningar,3,2023-07-27T10:57:55
Pappersförpackningar,5,2023-08-01T13:31:53
Plastförpackningar,16,2023-08-01T14:40:57
Tidningar,13,2023-08-03T10:53:38
Pappersförpackningar,5,2023-08-08T15:37:05
Plastförpackningar,16,2023-08-08T10:44:52
Pappersförpackningar,5,2023-08-15T13:03:33
Plastförpackningar,16,2023-08-15T09:42:52
Pappersförpackningar,5,2023-08-22T13:33:25
Plastförpackningar,16,2023-08-22T11:07:44
