material,materialid,maintenance
Städning,0,2022-10-31T09:13:14
Metallförpackningar,3,2022-10-27T12:19:41
Pappersförpackningar,5,2022-10-31T10:02:50
Tidningar,13,2022-05-19T10:17:34
Plastförpackningar,16,2022-10-31T10:02:50
Ofärgade glasförpackningar,18,2022-10-26T12:18:36
Färgade glasförpackningar,19,2022-10-26T12:18:36
Städning,0,2022-11-02T13:34:12
Pappersförpackningar,5,2022-11-02T08:20:26
Städning,0,2022-11-04T11:18:44
Pappersförpackningar,5,2022-11-04T08:12:37
Plastförpackningar,16,2022-11-04T08:12:37
Städning,0,2022-11-07T10:54:12
Pappersförpackningar,5,2022-11-07T09:24:22
Plastförpackningar,16,2022-11-07T09:24:22
Städning,0,2022-11-09T12:34:19
Pappersförpackningar,5,2022-11-09T08:16:49
Ofärgade glasförpackningar,18,2022-11-09T10:55:25
Färgade glasförpackningar,19,2022-11-09T10:55:25
Städning,0,2022-11-11T10:46:21
Pappersförpackningar,5,2022-11-11T09:23:11
Plastförpackningar,16,2022-11-11T09:23:11
Städning,0,2022-11-14T09:25:05
Pappersförpackningar,5,2022-11-14T09:16:37
Plastförpackningar,16,2022-11-14T09:16:37
Städning,0,2022-11-16T12:38:48
Pappersförpackningar,5,2022-11-16T08:13:48
Städning,0,2022-11-18T10:50:19
Pappersförpackningar,5,2022-11-18T06:22:49
Plastförpackningar,16,2022-11-18T06:22:49
Pappersförpackningar,5,2022-11-21T09:24:44
Plastförpackningar,16,2022-11-21T09:24:44
Ofärgade glasförpackningar,18,2022-11-21T14:03:36
Färgade glasförpackningar,19,2022-11-21T14:03:36
Städning,0,2022-11-22T08:37:50
Pappersförpackningar,5,2022-11-23T08:43:44
Städning,0,2022-11-24T10:23:00
Städning,0,2022-11-25T10:55:32
Pappersförpackningar,5,2022-11-25T09:11:30
Plastförpackningar,16,2022-11-25T09:11:30
Städning,0,2022-11-28T09:45:00
Pappersförpackningar,5,2022-11-28T09:33:47
Plastförpackningar,16,2022-11-28T09:33:47
Städning,0,2022-12-12T10:28:56
Pappersförpackningar,5,2022-12-12T09:19:46
Plastförpackningar,16,2022-12-12T09:19:46
Ofärgade glasförpackningar,18,2022-12-07T11:08:08
Färgade glasförpackningar,19,2022-12-07T11:08:08
Städning,0,2023-01-02T09:43:46
Metallförpackningar,3,2022-12-20T12:07:43
Pappersförpackningar,5,2023-01-02T09:54:40
Plastförpackningar,16,2023-01-02T09:54:40
Ofärgade glasförpackningar,18,2023-01-03T09:23:19
Färgade glasförpackningar,19,2023-01-03T09:23:19
Städning,0,2023-01-13T10:02:54
Pappersförpackningar,5,2023-01-13T06:38:08
Plastförpackningar,16,2023-01-13T06:38:08
Städning,0,2023-01-16T09:46:51
Pappersförpackningar,5,2023-01-16T09:27:36
Plastförpackningar,16,2023-01-16T09:27:36
Städning,0,2023-01-18T12:23:07
Pappersförpackningar,5,2023-01-18T08:37:56
Ofärgade glasförpackningar,18,2023-01-18T08:08:37
Färgade glasförpackningar,19,2023-01-18T08:08:37
Pappersförpackningar,5,2023-01-20T09:06:06
Plastförpackningar,16,2023-01-20T09:06:06
Städning,0,2023-01-23T09:24:39
Städning,0,2023-01-25T13:43:36
Pappersförpackningar,5,2023-01-25T09:05:33
Plastförpackningar,16,2023-01-23T10:03:44
Städning,0,2023-01-27T11:00:09
Pappersförpackningar,5,2023-01-27T19:09:24
Plastförpackningar,16,2023-01-27T19:09:24
Städning,0,2023-01-30T10:43:07
Pappersförpackningar,5,2023-01-30T08:56:02
Plastförpackningar,16,2023-01-30T08:56:02
Ofärgade glasförpackningar,18,2023-01-31T13:13:32
Färgade glasförpackningar,19,2023-01-31T13:13:32
Städning,0,2023-02-01T12:48:25
Pappersförpackningar,5,2023-02-01T08:35:56
Städning,0,2023-02-03T10:27:56
Pappersförpackningar,5,2023-02-03T08:50:52
Plastförpackningar,16,2023-02-03T08:50:52
Städning,0,2023-02-06T10:53:01
Pappersförpackningar,5,2023-02-06T09:28:27
Plastförpackningar,16,2023-02-06T09:28:27
Städning,0,2023-02-08T13:41:53
Pappersförpackningar,5,2023-02-08T08:56:19
Städning,0,2023-02-10T10:31:33
Pappersförpackningar,5,2023-02-12T09:37:18
Städning,0,2023-02-13T09:10:46
Pappersförpackningar,5,2023-02-13T09:57:44
Plastförpackningar,16,2023-02-13T09:57:44
Ofärgade glasförpackningar,18,2023-02-14T11:19:50
Färgade glasförpackningar,19,2023-02-14T11:19:50
Städning,0,2023-02-15T12:07:48
Metallförpackningar,3,2023-02-15T10:40:44
Pappersförpackningar,5,2023-02-15T08:14:13
Städning,0,2023-02-17T11:06:19
Pappersförpackningar,5,2023-02-17T08:54:37
Plastförpackningar,16,2023-02-17T08:54:37
Städning,0,2023-02-20T09:34:24
Pappersförpackningar,5,2023-02-20T09:06:00
Plastförpackningar,16,2023-02-20T09:06:00
Städning,0,2023-02-22T12:15:14
Pappersförpackningar,5,2023-02-22T08:51:23
Städning,0,2023-02-24T12:46:14
Pappersförpackningar,5,2023-02-24T15:46:17
Plastförpackningar,16,2023-02-24T15:46:17
