material,materialid,maintenance
Städning,0,2022-11-01T08:10:26
Metallförpackningar,3,2022-10-25T20:39:59
Pappersförpackningar,5,2022-11-01T08:44:53
Tidningar,13,2022-11-01T13:04:04
Plastförpackningar,16,2022-10-31T15:13:42
Ofärgade glasförpackningar,18,2022-10-17T18:52:35
Färgade glasförpackningar,19,2022-10-17T18:52:35
Pappersförpackningar,5,2022-11-02T10:24:17
Plastförpackningar,16,2022-11-02T18:46:30
Pappersförpackningar,5,2022-11-03T17:17:47
Städning,0,2022-11-04T13:08:33
Metallförpackningar,3,2022-11-04T08:29:20
Pappersförpackningar,5,2022-11-04T13:59:02
Plastförpackningar,16,2022-11-04T13:50:06
Pappersförpackningar,5,2022-11-05T07:37:45
Plastförpackningar,16,2022-11-05T18:01:14
Städning,0,2022-11-06T12:43:09
Pappersförpackningar,5,2022-11-06T16:59:46
Plastförpackningar,16,2022-11-06T16:35:38
Pappersförpackningar,5,2022-11-07T09:55:53
Tidningar,13,2022-11-07T12:07:18
Plastförpackningar,16,2022-11-07T15:55:43
