material,materialid,maintenance
Städning,0,2022-10-31T09:41:18
Metallförpackningar,3,2022-10-26T07:44:21
Pappersförpackningar,5,2022-11-01T06:44:42
Tidningar,13,2022-11-01T08:47:01
Plastförpackningar,16,2022-10-31T06:53:43
Ofärgade glasförpackningar,18,2022-11-01T10:44:56
Färgade glasförpackningar,19,2022-11-01T10:44:56
Städning,0,2022-11-02T09:32:38
Pappersförpackningar,5,2022-11-02T08:06:39
Pappersförpackningar,5,2022-11-03T13:59:00
Tidningar,13,2022-11-03T11:52:19
Plastförpackningar,16,2022-11-03T11:14:54
Städning,0,2022-11-04T11:28:06
Pappersförpackningar,5,2022-11-05T08:06:50
Plastförpackningar,16,2022-11-05T07:37:28
Pappersförpackningar,5,2022-11-06T07:03:44
Städning,0,2022-11-07T09:55:12
Pappersförpackningar,5,2022-11-07T14:04:12
Plastförpackningar,16,2022-11-07T07:12:48
Pappersförpackningar,5,2022-11-08T06:46:03
Tidningar,13,2022-11-08T11:19:23
Städning,0,2022-11-09T09:44:46
Pappersförpackningar,5,2022-11-09T08:20:05
Pappersförpackningar,5,2022-11-10T13:58:44
Tidningar,13,2022-11-10T13:53:06
Plastförpackningar,16,2022-11-10T07:07:33
Städning,0,2022-11-11T12:48:50
Pappersförpackningar,5,2022-11-12T06:37:07
Plastförpackningar,16,2022-11-12T07:47:54
Pappersförpackningar,5,2022-11-13T09:03:06
Städning,0,2022-11-14T09:51:02
Pappersförpackningar,5,2022-11-14T13:53:55
Plastförpackningar,16,2022-11-14T07:01:53
Pappersförpackningar,5,2022-11-15T06:54:11
Städning,0,2022-11-16T09:26:32
Metallförpackningar,3,2022-11-16T15:14:35
Pappersförpackningar,5,2022-11-16T09:44:33
Ofärgade glasförpackningar,18,2022-11-16T13:40:17
Färgade glasförpackningar,19,2022-11-16T13:40:17
Pappersförpackningar,5,2022-11-17T06:52:38
Plastförpackningar,16,2022-11-17T08:09:57
Städning,0,2022-11-18T13:34:18
Pappersförpackningar,5,2022-11-19T06:19:40
Plastförpackningar,16,2022-11-19T08:09:55
Pappersförpackningar,5,2022-11-20T07:14:37
Städning,0,2022-11-21T13:21:13
Pappersförpackningar,5,2022-11-21T15:26:19
Plastförpackningar,16,2022-11-21T07:10:01
Städning,0,2022-11-23T10:02:37
Pappersförpackningar,5,2022-11-23T06:53:16
Tidningar,13,2022-11-22T11:49:46
Ofärgade glasförpackningar,18,2022-11-22T15:06:18
Färgade glasförpackningar,19,2022-11-22T15:06:18
Pappersförpackningar,5,2022-11-24T13:11:08
Tidningar,13,2022-11-24T13:22:41
Plastförpackningar,16,2022-11-24T07:06:32
Städning,0,2022-11-25T14:23:41
Pappersförpackningar,5,2022-11-26T06:42:22
Plastförpackningar,16,2022-11-26T08:32:07
