material,materialid,maintenance
Städning,0,2022-10-28T11:43:55
Metallförpackningar,3,2022-08-02T15:04:26
Pappersförpackningar,5,2022-10-31T06:44:11
Tidningar,13,2022-10-25T06:30:43
Plastförpackningar,16,2022-11-01T12:55:09
Ofärgade glasförpackningar,18,2022-10-29T09:42:29
Färgade glasförpackningar,19,2022-10-29T09:42:29
Städning,0,2022-11-02T09:56:08
Städning,0,2022-11-04T08:06:24
Pappersförpackningar,5,2022-11-05T10:20:46
Pappersförpackningar,5,2022-11-07T06:42:18
Plastförpackningar,16,2022-11-08T12:53:59
Städning,0,2022-11-09T13:39:28
Städning,0,2022-11-11T08:32:41
Pappersförpackningar,5,2022-11-12T07:38:05
Pappersförpackningar,5,2022-11-14T06:39:21
Plastförpackningar,16,2022-11-15T07:22:08
Städning,0,2022-11-16T10:22:07
Ofärgade glasförpackningar,18,2022-11-17T09:23:15
Färgade glasförpackningar,19,2022-11-17T09:23:15
Städning,0,2022-11-18T08:09:43
Pappersförpackningar,5,2022-11-19T08:20:17
Pappersförpackningar,5,2022-11-21T10:32:07
Städning,0,2022-11-23T09:31:38
Plastförpackningar,16,2022-11-22T07:38:41
Metallförpackningar,3,2022-11-24T13:52:26
Städning,0,2022-11-25T08:54:14
Pappersförpackningar,5,2022-11-26T07:21:21
Pappersförpackningar,5,2022-11-28T06:52:17
Plastförpackningar,16,2022-11-29T08:35:56
Städning,0,2022-12-09T08:57:40
Pappersförpackningar,5,2022-12-12T06:51:37
Plastförpackningar,16,2022-12-13T08:53:21
Ofärgade glasförpackningar,18,2022-12-10T10:18:33
Färgade glasförpackningar,19,2022-12-10T10:18:33
Städning,0,2022-12-30T09:10:14
Pappersförpackningar,5,2023-01-02T06:38:48
Plastförpackningar,16,2023-01-03T08:57:42
Ofärgade glasförpackningar,18,2022-12-30T10:26:08
Färgade glasförpackningar,19,2022-12-30T10:26:08
Städning,0,2023-01-13T09:16:29
Pappersförpackningar,5,2023-01-14T10:33:33
Plastförpackningar,16,2023-01-10T08:30:58
Ofärgade glasförpackningar,18,2023-01-12T11:26:32
Färgade glasförpackningar,19,2023-01-12T11:26:32
Pappersförpackningar,5,2023-01-16T07:39:37
Plastförpackningar,16,2023-01-17T08:38:47
Städning,0,2023-01-18T13:16:34
Metallförpackningar,3,2023-01-18T13:27:22
Städning,0,2023-01-20T11:08:02
Pappersförpackningar,5,2023-01-21T07:32:56
Pappersförpackningar,5,2023-01-23T06:48:39
Plastförpackningar,16,2023-01-24T08:23:48
Städning,0,2023-01-25T10:15:20
Städning,0,2023-01-27T10:58:11
Ofärgade glasförpackningar,18,2023-01-27T08:23:57
Färgade glasförpackningar,19,2023-01-27T08:23:57
Pappersförpackningar,5,2023-01-28T10:00:52
Pappersförpackningar,5,2023-01-30T06:38:48
Plastförpackningar,16,2023-01-31T08:22:34
