material,materialid,maintenance
Städning,0,2022-10-26T15:36:10
Metallförpackningar,3,2022-10-31T14:06:07
Pappersförpackningar,5,2022-10-31T13:28:19
Plastförpackningar,16,2022-11-01T10:17:50
Ofärgade glasförpackningar,18,2022-10-12T12:55:13
Färgade glasförpackningar,19,2022-10-12T12:55:13
Städning,0,2022-11-02T14:43:53
Pappersförpackningar,5,2022-11-07T13:12:52
Plastförpackningar,16,2022-11-08T13:42:01
Städning,0,2022-11-10T11:57:05
Pappersförpackningar,5,2022-11-14T12:57:26
Plastförpackningar,16,2022-11-15T13:07:46
Städning,0,2022-11-16T13:32:31
Pappersförpackningar,5,2022-11-21T13:04:38
Städning,0,2022-11-23T08:04:57
Plastförpackningar,16,2022-11-22T13:14:32
Pappersförpackningar,5,2022-11-28T13:12:23
Plastförpackningar,16,2022-11-29T11:44:32
Städning,0,2022-12-07T13:59:41
Pappersförpackningar,5,2022-12-12T13:01:54
Plastförpackningar,16,2022-12-13T13:55:30
Städning,0,2022-12-28T12:27:58
Metallförpackningar,3,2022-12-30T09:39:30
Pappersförpackningar,5,2023-01-02T12:51:09
Plastförpackningar,16,2023-01-03T13:47:57
Ofärgade glasförpackningar,18,2023-01-02T13:35:28
Färgade glasförpackningar,19,2023-01-02T13:35:28
Städning,0,2023-01-11T07:42:33
Pappersförpackningar,5,2023-01-09T12:48:27
Plastförpackningar,16,2023-01-10T13:20:15
Pappersförpackningar,5,2023-01-16T12:52:33
Plastförpackningar,16,2023-01-17T13:52:14
Städning,0,2023-01-18T15:54:06
Städning,0,2023-01-25T14:17:47
Plastförpackningar,16,2023-01-24T13:39:03
Pappersförpackningar,5,2023-01-23T13:24:42
Pappersförpackningar,5,2023-01-30T13:11:51
Plastförpackningar,16,2023-01-31T13:54:48
Städning,0,2023-02-01T15:12:42
Pappersförpackningar,5,2023-02-06T13:14:03
Plastförpackningar,16,2023-02-07T13:19:39
Städning,0,2023-02-08T08:25:03
Pappersförpackningar,5,2023-02-13T13:00:13
Plastförpackningar,16,2023-02-14T13:27:11
Städning,0,2023-02-15T14:51:50
Pappersförpackningar,5,2023-02-20T13:11:33
Metallförpackningar,3,2023-02-21T10:22:12
Plastförpackningar,16,2023-02-21T06:48:28
Städning,0,2023-02-22T14:47:16
Pappersförpackningar,5,2023-02-27T13:06:29
Plastförpackningar,16,2023-02-28T12:08:19
Städning,0,2023-03-01T13:47:14
Pappersförpackningar,5,2023-03-06T14:34:24
Plastförpackningar,16,2023-03-07T08:11:26
Städning,0,2023-03-08T13:59:06
Pappersförpackningar,5,2023-03-13T11:34:49
Ofärgade glasförpackningar,18,2023-03-13T13:43:28
Färgade glasförpackningar,19,2023-03-13T13:43:28
Plastförpackningar,16,2023-03-14T08:12:25
Städning,0,2023-03-15T13:45:12
Pappersförpackningar,5,2023-03-20T13:28:59
Plastförpackningar,16,2023-03-21T13:15:41
Städning,0,2023-03-22T13:07:27
Pappersförpackningar,5,2023-03-27T12:59:33
Plastförpackningar,16,2023-03-28T13:08:00
Städning,0,2023-03-29T13:51:59
Pappersförpackningar,5,2023-04-03T13:08:41
Plastförpackningar,16,2023-04-04T14:08:24
Städning,0,2023-04-05T13:49:20
Pappersförpackningar,5,2023-04-10T08:51:22
Plastförpackningar,16,2023-04-11T13:37:17
Städning,0,2023-04-12T13:03:10
Metallförpackningar,3,2023-04-17T14:04:03
Pappersförpackningar,5,2023-04-17T13:12:20
Plastförpackningar,16,2023-04-18T13:26:14
Städning,0,2023-04-19T13:12:37
Pappersförpackningar,5,2023-04-24T13:20:18
Plastförpackningar,16,2023-04-25T13:26:21
Städning,0,2023-04-26T13:29:53
Pappersförpackningar,5,2023-05-01T11:41:19
Plastförpackningar,16,2023-05-02T13:10:46
Städning,0,2023-05-03T13:57:32
Pappersförpackningar,5,2023-05-08T13:19:12
Plastförpackningar,16,2023-05-09T13:37:33
Städning,0,2023-05-10T13:48:21
Städning,0,2023-05-17T12:34:14
Pappersförpackningar,5,2023-05-15T12:54:31
Plastförpackningar,16,2023-05-16T08:08:13
Pappersförpackningar,5,2023-05-22T13:34:13
Plastförpackningar,16,2023-05-23T13:24:22
Städning,0,2023-05-24T09:49:43
Ofärgade glasförpackningar,18,2023-05-24T12:43:16
Färgade glasförpackningar,19,2023-05-24T12:43:16
Pappersförpackningar,5,2023-05-29T13:05:06
Plastförpackningar,16,2023-05-30T13:16:59
Städning,0,2023-05-31T13:07:38
Pappersförpackningar,5,2023-06-05T12:39:28
Plastförpackningar,16,2023-06-06T13:03:54
Städning,0,2023-06-07T13:26:28
Metallförpackningar,3,2023-06-12T12:22:12
Pappersförpackningar,5,2023-06-12T13:17:27
Plastförpackningar,16,2023-06-13T13:09:13
Städning,0,2023-06-14T12:54:18
Pappersförpackningar,5,2023-06-19T13:52:24
Plastförpackningar,16,2023-06-20T14:53:33
Städning,0,2023-06-21T13:24:26
Pappersförpackningar,5,2023-06-22T10:51:04
Pappersförpackningar,5,2023-06-26T12:05:08
Plastförpackningar,16,2023-06-27T16:57:31
Städning,0,2023-06-28T13:42:28
Pappersförpackningar,5,2023-06-29T08:41:47
Pappersförpackningar,5,2023-07-03T12:41:41
Plastförpackningar,16,2023-07-04T13:17:41
Städning,0,2023-07-05T13:26:53
Pappersförpackningar,5,2023-07-06T10:41:19
Pappersförpackningar,5,2023-07-10T12:18:57
Plastförpackningar,16,2023-07-11T15:31:08
Städning,0,2023-07-12T13:38:06
Pappersförpackningar,5,2023-07-13T12:11:22
Pappersförpackningar,5,2023-07-17T12:21:44
Plastförpackningar,16,2023-07-18T15:17:25
Pappersförpackningar,5,2023-07-20T10:28:56
Pappersförpackningar,5,2023-07-24T14:11:32
Plastförpackningar,16,2023-07-25T15:18:08
Städning,0,2023-07-26T14:08:25
Pappersförpackningar,5,2023-07-27T10:21:24
Ofärgade glasförpackningar,18,2023-07-27T09:53:58
Färgade glasförpackningar,19,2023-07-27T09:53:58
Pappersförpackningar,5,2023-07-31T14:04:35
Plastförpackningar,16,2023-08-01T14:15:47
Städning,0,2023-08-02T14:38:41
Pappersförpackningar,5,2023-08-03T11:02:54
Pappersförpackningar,5,2023-08-07T14:24:26
Plastförpackningar,16,2023-08-08T14:13:26
Städning,0,2023-08-09T13:44:42
Metallförpackningar,3,2023-08-09T14:48:05
Pappersförpackningar,5,2023-08-10T10:40:03
Pappersförpackningar,5,2023-08-14T13:48:39
Plastförpackningar,16,2023-08-15T13:46:22
Städning,0,2023-08-16T13:26:35
Pappersförpackningar,5,2023-08-21T12:52:18
Plastförpackningar,16,2023-08-22T12:52:55
Städning,0,2023-08-23T13:11:37
Pappersförpackningar,5,2023-08-28T09:28:47
Städning,0,2023-08-30T12:25:43
Plastförpackningar,16,2023-08-29T13:53:30
Pappersförpackningar,5,2023-09-04T13:25:20
Plastförpackningar,16,2023-09-05T14:24:14
Pappersförpackningar,5,2023-09-11T12:58:04
Plastförpackningar,16,2023-09-12T13:22:18
Pappersförpackningar,5,2023-09-18T14:58:08
Plastförpackningar,16,2023-09-19T13:05:05
Städning,0,2023-09-20T13:37:06
Ofärgade glasförpackningar,18,2023-09-21T10:03:12
Färgade glasförpackningar,19,2023-09-21T10:03:12
Pappersförpackningar,5,2023-09-25T09:30:12
Plastförpackningar,16,2023-09-26T13:39:06
Städning,0,2023-09-27T13:31:28
Pappersförpackningar,5,2023-10-02T13:02:50
Metallförpackningar,3,2023-10-03T10:56:01
Plastförpackningar,16,2023-10-03T12:55:55
Städning,0,2023-10-04T13:53:40
