material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-28T09:09:05,2023-12-30T00:00:00
Metallförpackningar,3,2023-11-28T14:05:54,
Pappersförpackningar,5,2023-12-27T06:33:06,2023-12-29T00:00:00
Tidningar,13,2023-12-28T09:25:20,
Plastförpackningar,16,2023-12-28T07:07:23,
Ofärgade glasförpackningar,18,2023-08-03T07:16:56,
Färgade glasförpackningar,19,2023-08-03T07:16:56,
