material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-30T16:42:21,
Metallförpackningar,3,2023-12-19T11:24:48,
Pappersförpackningar,5,2023-12-31T09:46:07,
Tidningar,13,2023-12-22T08:10:30,
Plastförpackningar,16,2023-12-31T11:38:02,
Ofärgade glasförpackningar,18,2023-12-29T14:16:20,
Färgade glasförpackningar,19,2023-12-29T14:16:20,
