material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-25T13:49:38,
Metallförpackningar,3,2023-12-19T19:15:57,
Pappersförpackningar,5,2023-12-20T18:28:21,2023-12-27T00:00:00
Tidningar,13,2023-12-11T08:35:58,
Plastförpackningar,16,2023-12-25T18:43:02,
Ofärgade glasförpackningar,18,2023-11-21T08:20:53,
Färgade glasförpackningar,19,2023-11-21T08:20:53,
