material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-22T14:10:22,2023-12-27T00:00:00
Metallförpackningar,3,2023-12-06T10:39:30,
Pappersförpackningar,5,2023-12-25T10:35:01,2023-12-27T00:00:00
Tidningar,13,2023-12-23T10:22:32,
Plastförpackningar,16,2023-12-25T13:05:33,2023-12-29T00:00:00
Ofärgade glasförpackningar,18,2023-09-19T13:22:49,
Färgade glasförpackningar,19,2023-09-19T13:22:49,
