material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T06:00:58,
Metallförpackningar,3,2023-12-28T08:13:19,
Pappersförpackningar,5,2023-12-30T07:37:41,2023-12-31T00:00:00
Tidningar,13,2023-10-11T12:34:44,
Plastförpackningar,16,2023-12-29T10:02:00,
Ofärgade glasförpackningar,18,2023-12-19T10:55:58,
Färgade glasförpackningar,19,2023-12-19T10:55:58,
