material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-08-16T15:00:00,2023-08-23T00:00:00
Metallförpackningar,3,2023-07-27T07:26:34,2023-08-23T00:00:00
Pappersförpackningar,5,2023-08-14T10:55:37,2023-08-28T00:00:00
Tidningar,13,2023-05-23T06:25:44,
Plastförpackningar,16,2023-08-08T10:00:16,2023-08-22T00:00:00
Ofärgade glasförpackningar,18,2023-08-08T11:52:13,
Färgade glasförpackningar,19,2023-08-08T11:52:13,
