material,materialid,senaktivitet,nastaaktivitet
Städning,0,,
Metallförpackningar,3,2023-11-01T11:01:49,2023-12-27T00:00:00
Pappersförpackningar,5,2023-12-18T07:32:13,2023-12-25T00:00:00
Tidningar,13,2023-12-13T10:04:58,
Plastförpackningar,16,2023-12-13T15:23:55,2023-12-20T00:00:00
Ofärgade glasförpackningar,18,2023-10-05T07:56:39,
Färgade glasförpackningar,19,2023-10-05T07:56:39,
