material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T16:27:28,
Metallförpackningar,3,2023-12-07T12:26:08,
Pappersförpackningar,5,2023-12-31T09:32:27,
Tidningar,13,,
Plastförpackningar,16,2023-12-29T08:02:43,
Ofärgade glasförpackningar,18,2023-11-20T12:04:43,
Färgade glasförpackningar,19,2023-11-20T12:04:43,
