material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T08:40:09,
Metallförpackningar,3,2023-11-22T13:02:48,
Pappersförpackningar,5,2023-12-29T11:12:31,
Tidningar,13,2023-12-04T11:22:39,
Plastförpackningar,16,2023-12-29T11:12:31,
Ofärgade glasförpackningar,18,2023-12-04T11:22:39,
Färgade glasförpackningar,19,2023-12-04T11:22:39,
