material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-28T11:16:03,
Metallförpackningar,3,2023-12-20T07:57:25,
Pappersförpackningar,5,2023-12-28T21:16:31,
Tidningar,13,2024-01-03T23:49:41,
Plastförpackningar,16,2023-12-26T20:20:41,
Ofärgade glasförpackningar,18,2023-10-17T10:35:17,
Färgade glasförpackningar,19,2023-10-17T10:35:17,
