material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-09-03T11:37:15,2023-09-04T00:00:00
Metallförpackningar,3,2023-08-21T15:26:11,2023-09-07T00:00:00
Pappersförpackningar,5,2023-08-16T09:26:45,2023-09-04T00:00:00
Tidningar,13,2022-02-21T14:55:25,
Plastförpackningar,16,2023-08-14T11:06:56,2023-09-04T00:00:00
Ofärgade glasförpackningar,18,2023-08-15T13:22:42,
Färgade glasförpackningar,19,2023-08-15T13:22:42,
