material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-27T11:20:49,
Metallförpackningar,3,2023-11-08T06:11:29,
Pappersförpackningar,5,2023-12-31T07:46:08,
Tidningar,13,2023-12-12T12:38:36,
Plastförpackningar,16,2023-12-29T06:30:15,
Ofärgade glasförpackningar,18,2023-10-18T08:32:59,
Färgade glasförpackningar,19,2023-10-18T08:32:59,
