material,materialid,senaktivitet,nastaaktivitet
Städning,0,2022-12-19T11:13:23,
Metallförpackningar,3,2023-12-20T09:52:55,
Pappersförpackningar,5,2023-12-28T21:11:19,
Tidningar,13,2023-12-12T08:50:42,
Plastförpackningar,16,2023-12-20T20:47:39,
Ofärgade glasförpackningar,18,2023-05-03T10:16:11,
Färgade glasförpackningar,19,2023-05-03T10:16:11,
