material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-20T08:08:20,2023-12-27T00:00:00
Metallförpackningar,3,2023-12-26T13:02:14,2023-12-29T00:00:00
Pappersförpackningar,5,2023-12-25T09:59:32,2023-12-27T00:00:00
Tidningar,13,2023-10-16T07:48:54,
Plastförpackningar,16,2023-12-23T09:56:23,2023-12-27T00:00:00
Ofärgade glasförpackningar,18,2023-05-05T08:17:21,
Färgade glasförpackningar,19,2023-05-05T08:17:21,
