material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-31T09:18:53,
Metallförpackningar,3,2023-12-22T12:35:37,
Pappersförpackningar,5,2023-12-29T08:42:01,2024-05-19T00:00:00
Tidningar,13,2023-12-19T14:50:31,
Plastförpackningar,16,2023-12-29T16:09:58,2024-05-22T00:00:00
Ofärgade glasförpackningar,18,2023-12-31T12:57:57,
Färgade glasförpackningar,19,2023-12-31T12:57:57,
