material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-28T14:35:27,
Metallförpackningar,3,2023-12-07T12:33:55,
Pappersförpackningar,5,2023-12-30T15:01:47,
Tidningar,13,2022-01-09T16:54:57,
Plastförpackningar,16,2023-12-26T13:54:04,
Ofärgade glasförpackningar,18,2023-11-15T13:09:53,
Färgade glasförpackningar,19,2023-11-15T13:09:53,
