material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-25T13:33:09,
Metallförpackningar,3,2023-12-27T15:09:29,
Pappersförpackningar,5,2023-12-26T12:15:51,2024-06-18T00:00:00
Tidningar,13,2023-05-31T13:43:02,
Plastförpackningar,16,2023-12-26T11:30:01,
Ofärgade glasförpackningar,18,2023-12-05T17:00:24,
Färgade glasförpackningar,19,2023-12-05T17:00:24,
