material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T07:23:36,
Metallförpackningar,3,2023-12-25T08:52:51,
Pappersförpackningar,5,2023-12-29T10:00:27,2023-12-31T00:00:00
Tidningar,13,2023-11-28T13:27:34,
Plastförpackningar,16,2023-12-28T16:38:42,2023-12-30T00:00:00
Ofärgade glasförpackningar,18,2023-12-22T17:28:21,
Färgade glasförpackningar,19,2023-12-22T17:28:21,
