material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-25T10:10:23,2023-12-28T00:00:00
Metallförpackningar,3,2023-11-14T12:17:54,
Pappersförpackningar,5,2023-12-25T07:46:14,2023-12-27T00:00:00
Tidningar,13,2023-12-12T12:37:24,
Plastförpackningar,16,2023-12-19T18:56:35,2023-12-26T00:00:00
Ofärgade glasförpackningar,18,2023-11-23T10:12:33,
Färgade glasförpackningar,19,2023-11-23T10:12:33,
