material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-26T08:37:13,2023-12-29T00:00:00
Metallförpackningar,3,2023-11-15T12:34:46,
Pappersförpackningar,5,2023-12-24T19:47:32,2023-12-31T00:00:00
Tidningar,13,,
Plastförpackningar,16,2023-12-28T13:33:38,
Ofärgade glasförpackningar,18,2023-12-22T16:51:42,
Färgade glasförpackningar,19,2023-12-22T16:51:42,
