material,materialid,senaktivitet,nastaaktivitet
Städning,0,,
Metallförpackningar,3,2023-09-27T08:22:01,
Pappersförpackningar,5,2023-12-28T11:34:13,
Tidningar,13,,
Plastförpackningar,16,2023-12-26T10:03:56,
Ofärgade glasförpackningar,18,2023-08-17T11:33:28,
Färgade glasförpackningar,19,2023-08-17T11:33:28,
