material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T10:54:28,
Metallförpackningar,3,2023-11-07T10:20:01,
Pappersförpackningar,5,2023-12-29T07:52:10,
Tidningar,13,2023-12-14T17:07:47,
Plastförpackningar,16,2023-12-27T11:37:25,
Ofärgade glasförpackningar,18,2023-12-08T08:23:07,
Färgade glasförpackningar,19,2023-12-08T08:23:07,
