material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T17:26:57,2023-12-31T00:00:00
Metallförpackningar,3,2023-12-29T13:24:53,
Pappersförpackningar,5,2023-12-29T08:01:59,2023-12-31T00:00:00
Tidningar,13,2023-12-17T14:23:35,
Plastförpackningar,16,2023-12-28T09:39:10,2023-12-30T00:00:00
Ofärgade glasförpackningar,18,2023-12-06T14:17:53,
Färgade glasförpackningar,19,2023-12-06T14:17:53,
