material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T08:58:59,
Metallförpackningar,3,2023-12-06T09:08:28,
Pappersförpackningar,5,2023-12-31T12:10:10,
Tidningar,13,2024-01-08T06:08:44,
Plastförpackningar,16,2023-12-29T12:13:53,
Ofärgade glasförpackningar,18,2023-09-05T08:27:46,
Färgade glasförpackningar,19,2023-09-05T08:27:46,
