material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T10:23:19,
Metallförpackningar,3,2023-12-30T08:53:23,
Pappersförpackningar,5,2023-12-30T08:53:23,
Tidningar,13,2023-12-28T09:42:31,
Plastförpackningar,16,2023-12-30T08:53:23,
Ofärgade glasförpackningar,18,2023-12-28T11:21:37,
Färgade glasförpackningar,19,2023-12-28T11:21:37,
