material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T09:18:00,
Metallförpackningar,3,2023-11-07T10:43:18,
Pappersförpackningar,5,2023-12-21T19:04:44,2024-05-30T00:00:00
Tidningar,13,2023-10-17T15:44:28,
Plastförpackningar,16,2023-12-26T14:51:38,
Ofärgade glasförpackningar,18,,
Färgade glasförpackningar,19,,
