material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-31T13:21:13,
Metallförpackningar,3,2023-12-07T14:33:05,
Pappersförpackningar,5,2023-12-31T10:40:02,
Tidningar,13,,
Plastförpackningar,16,2023-12-29T10:09:32,
Ofärgade glasförpackningar,18,2023-12-27T16:25:42,
Färgade glasförpackningar,19,2023-12-27T16:25:42,
