material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T10:43:33,
Metallförpackningar,3,2023-12-27T16:17:29,
Pappersförpackningar,5,2023-12-31T08:21:15,
Tidningar,13,2023-10-12T07:15:31,
Plastförpackningar,16,2023-12-29T10:59:44,
Ofärgade glasförpackningar,18,2023-12-10T15:06:56,
Färgade glasförpackningar,19,2023-12-10T15:06:56,
